pask,p a s k,"a"
bałma,b a w m a,"b"
całta,ts a w t a,"c"
ličak,l i tʃ a k,"č"
bělić,b ɪ l i tʃ,"ć"
dočini,d o tʃ i n i,"d"
pesimistiski,p e s i m i s t i s k i,"e"
něhdy,n ɪ h d ɨ,"ě"
fabula,f a b u l a,"f"
gagać,ɡ a ɡ a tʃ,"ɡ"
habla,h a b l a,"h"
pisać,p i s a tʃ,"i"
jadro,j a d ʀ o,"j"
kabat,k a b a t,"k"
błazny,b w a z n ɨ,"ł"
lac,l a ts,"l"
mač,m a tʃ,"m"
nabać,n a b a tʃ,"n"
dań,d a nʲ,"ń"
posyć,p o s ɨ tʃ,"o"
póstniski,p ʊ s t n i s k i,"ó"
pad,p a d,"p"
rad,ʀ a d,"r"
tři,t ʃ i,"ř"
sadło,s a d w o,"s"
šach,ʃ a x,"š"
tajić,t a j i tʃ,"t"
pusty,p u s t ɨ,"u"
vatikanski,v a t i k a n s k i,"v"
wačka,w a tʃ k a,"w"
pysk,p ɨ s k,"y"
zabić,z a b i tʃ,"z"
žaba,ʒ a b a,"ž"
dźak,dʒ a k,"dź"
čichawa,tʃ i x a w a,"ch"
bjakać,bʲ a k a tʃ,"bj"
pjany,pʲ a n ɨ,"pj"
mjaso,mʲ a s o,"mj"
njeju,nʲ e j u,"nj"
sewjerny,s e wʲ e ʀ n ɨ,"wj"
rjadka,ʀʲ a d k a,"rj"
