ազատ,ɑ z ɑ t,"a"
բաբան,b ɑ b ɑ n,"b"
գիրգ,ɡ i ɾ ɡ,"g"
դիմորդ,d i m ɔ ɾ d,"d"
եկեղեցի,ɛ k ɛ ʁ ɛ tsʰ i,"e 1"
զվարթ,z v ɑ ɾ tʰ,"z"
էրիկ,ɛ ɾ i k,"e 2"
ընդամենը,ə n d ɑ m ɛ n ə,"schwa"
թերթ,tʰ ɛ ɾ tʰ,"aspirated t"
ժուժկալ,ʒ u ʒ k ɑ l,"zh"
ինքնին,i n kʰ n i n,"i"
լալոնք,l ɑ l ɔ n kʰ,"l"
խախտել,χ ɑ χ t ɛ l,"uvular x"
ծիծեռնակ,ts i ts ɛ r n ɑ k,"ts"
կասկած,k ɑ s k ɑ ts,"k"
համհարզ,h ɑ m h ɑ ɾ z,"h"
ձանձրալի,dz ɑ n dz ɾ ɑ l i,"dz"
ղեկ,ʁ ɛ k,"voiced uvular fricative"
ճահիճ,tʃ ɑ h i tʃ,"tsh"
մեղմ,m ɛ ʁ m,"m"
յուրային,j u ɾ ɑ j i n,"j"
նռնենի,n r n ɛ n i,"n"
շուշմա,ʃ u ʃ m ɑ,"sh"
ոլորուն,ɔ l ɔ ɾ u n,"o 1"
չարչի,tʃʰ ɑ ɾ tʃʰ i,"aspirated tsh"
պոպոք,p ɔ p ɔ kʰ,"p"
ջինջ,dʒ i n dʒ,"dzh"
ռոճիկ,r ɔ tʃ i k,"r"
սիսեռ,s i s ɛ r,"s"
վավեր,v ɑ v ɛ ɾ,"v"
տաղտկոտ,t ɑ ʁ t k ɔ t,"t"
ցուցարար,tsʰ u tsʰ ɑ ɾ ɑ ɾ,"flap"
ցանց,tsʰ ɑ n tsʰ,"aspirated ts"
ութսուն,u tʰ s u n,"u"
փրփրել,pʰ ɾ pʰ ɾ ɛ l,"aspirated p"
քիմք,kʰ i m kʰ,"aspirated k"
օթևան,ɔ tʰ ɛ v ɑ n,"ev"
օսլա,ɔ s l ɑ,"o 2"
ֆոսֆոր,f ɔ s f ɔ ɾ,"f"
