aswa,a s̪ w a,
aspii,a s̪ p i i,
atuniai,a t̪ u n̪ i a i,
iachi,i a tʃ i,
imapas,i m a p a s̪,
jijin,x i x i n̪,
juakimi,x u a k i m i,
kaillapi,k a i ʎ a p i,
kakuchiska,k a k u tʃ i s̪ k a,
kilpai,k i l̪ p a i,
killa,k i ʎ a,
lipia,l̪ i p i a,
llikii,ʎ i k i i,
lluchka,ʎ u tʃ k a,
lluspichirii,ʎ u s̪ p i tʃ i ɾ i i,
maltuiai,m a l̪ t̪ u i a i,
milma,m i l̪ m a,
sarawai,s̪ a ɾ a w a i,
sapa,s̪ a p a,
tapia,t̪ a p i a,
ujnai,u x n̪ a i,
witsaja,w i t̪ s̪ a x a,
antakuyu,a n̪ t̪ a k u j u,
añikuna,a ɲ i k u n̪ a,
