ᐃᖃᓗᐃᑦ,i q a l u i t,"ᐃ / i --- BEGINNING OF /i/-FINAL SYLLABLES"
ᐱᓱᒃ,p i s u k,"ᐱ / pi"
ᑎᕆᒐᓂᐊᖅ,t i ʁ i ɣ a n i a q,"ᑎ / ti"
ᑭᐊᑎ,k i a t i,"ᑭ / ki"
ᑕᑯᓗᒋᑦ,t a k u l u ɣ i t,"ᒋ / ɣi"
ᑲᒥᒃ,k a m i k,"ᒥ / mi"
ᓂᐅᒃ,n i u k,"ᓂ / ni"
ᓯᓚ,s i l a,"ᓯ / si"
ᐊᓪᓕᖅ,a l l i q,"ᓕ / li"
ᐃᔨ,i j i,"ᔨ / ji"
ᐊᕕᖕᖓᖅ,a v i ŋ ŋ a q,"ᕕ / vi"
ᑕᕆᐅᖅ,t a ʁ i u q,"ᕆ / ʁi"
ᕿᒻᒥᒃ,q i m m i k,"ᕿ / qi"
ᓯᖏᕐᓂᖅ,s i ŋ i ʁ n i q,"ᖏ / ŋi"
ᓂᕈᐊᖅᖠᕐᓂᕐᒧᑦ,n i ʁ u a q ɬ i ʁ n i ʁ m u t,"ᖠ / ɬi"
ᐅᑭᐅᖅ,u k i u q,"ᐅ / u --- BEGINNING OF /u/-FINAL SYLLABLES"
ᐳᐊᓘᒃ,p u a l u ː k,"ᐳ / pu"
ᑐᒃᑐ,t u k t u,"ᑐ / tu"
ᓴᑯ,s a k u,"ᑯ / ku"
ᐅᕙᒍᑦ,u v a ɣ u t,"ᒍ / ɣu"
ᖃᒧᑏᒃ,q a m u t i ː k,"ᒧ / mu"
ᓄᔭᑦ,n u j a t,"ᓄ / nu"
ᓱᓇᒐᖅ,s u n a ɣ a q,"ᓱ / su"
ᐅᓪᓗᕆᐊᖅ,u l l u ʁ i a q,"ᓗ / lu"
ᐊᖓᔪᖅ,a ŋ a j u q,"ᔪ / ju"
ᓄᓇᑦᓯᐊᕗᑦ,n u n a t s i a v u t,"ᕗ / vu"
ᐊᒪᕈᖅ,a m a ʁ u q,"ᕈ / ʁu"
ᖁᑭᐅᑦ,q u k i u t,"ᖁ / qu"
ᐊᖑᑦ,a ŋ u t,"ᖑ / ŋu"
ᒪᓕᒃᖢᒍ,m a l i k ɬ u ɣ u,"ᖢ / ɬu"
ᐊᐅᔭ,a u j a,"ᐊ / a --- BEGINNING OF /a/-FINAL SYLLABLES"
ᐸᓂᖅ,p a n i q,"ᐸ / pa"
ᕿᑭᖅᑕᑦ,q i k i q t a t,"ᑕ / ta"
ᓄᑲᖅ,n u k a q,"ᑲ / ka"
ᐊᒡᒐᒃ,a ɣ ɣ a k,"ᒐ / ɣa"
ᒪᐅᔭ,m a u j a,"ᒪ / ma"
ᓇᓄᖅ,n a n u q,"ᓇ / na"
ᓴᕕᒃ,s a v i k,"ᓴ / sa"
ᓯᓚᒥ,s i l a m i,"ᓚ / la"
ᖃᔭᖅ,q a j a q,"ᔭ / ja"
ᐅᕙᖓ,u v a ŋ a,"ᕙ / va"
ᑎᑎᕋᐅᑦ,t i t i ʁ a u t,"ᕋ / ʁa"
ᖃᐅᔨᒪᔭᑐᖃᖏᑦ,q a u j i m a j a t u q a ŋ i t,"ᖃ / qa"
ᖃᖓ,q a ŋ a,"ᖓ / ŋa"
ᐊᒡᖤᕕᖕᒥ,a ɣ ɬ a v i ŋ m i,"ᖤ / ɬa"
ᐁᕕᖃ,a i v i q a,"ᐁ / ai --- BEGINNING OF /ai/-FINAL SYLLABLES"
ᐯᑉᐹᖅ,p a i p p a ː q,"ᐯ / pai"
ᐃᓄᓕᕐᑌᑦ,i n u l i ʁ t a i t,"ᑌ / tai"
ᑫᓪᓗᐊᕈᑕᐅᕗᖅ,k a i l l u a ʁ u t a u v u q,"ᑫ / kai"
ᑌᒣᑦᑐᐃᑦ,t a i m a i t t u i t,"ᒣ / mai"
ᑕᐸᓀᑦᑐᑦ,t a p a n a i t t u t,"ᓀ / nai"
ᑐᓴᕋᑦᓭᑦ,t u s a ʁ a t s a i t,"ᓭ / sai"
ᐅᓈᒐᓓᑦ,u n a ː ɣ a l a i t,"ᓓ / lai"
ᓇᒻᒥᓂᕆᔦᑦ,n a m m i n i ʁ i j a i t,"ᔦ / jai"
ᐊᑭᓖᔪᕕᓂᐅᓂᕃᔪᒥᒃ,a k i l i ː j u v i n i u n i ʁ a i j u m i k,"ᕃ / ʁai"
ᒪᙯᑦᑏᑦ,m a q a i t t i ː t,"ᙯ / qai"
ᓄᑕᕋᒃᓴᐅᑉ,n u t a ʁ a k s a u p,"ᑉ / p --- BEGINNING OF CODA CONSONANTS"
ᐊᐳᑦ,a p u t,"ᑦ / t"
ᐱᓱᒃ,p i s u k,"ᒃ / k"
ᐊᒡᒐᒃ,a ɣ ɣ a k,"ᒡ / ɣ"
ᕿᒻᒧᒃᓯᑦ,q i m m u k s i t,"ᒻ / m"
ᐅᓐᓄᖅ,u n n u q,"ᓐ / n"
ᐃᓕᔅᓯ,i l i s s i,"ᔅ / s"
ᐊᓇᐅᓪᓚᐅᑦ,a n a u l l a u t,"ᓪ / l"
ᖃᐅᔨᒃᑲᐃᔾᔪᑏᑦ,q a u j i k k a i j j u t i ː t,"ᔾ / j"
ᑕᕝᕙ,t a v v a,"ᕝ / v"
ᐊᕐᓇᖅ,a ʁ n a q,"ᕐ / ʁ"
ᐊᖏᖅᑲᖅᑐᖅ,a ŋ i q k a q t u q,"ᖅ / q"
ᑎᖕᒥᐊᖅ,t i ŋ m i a q,"ᖕ / ŋ"
ᑎᑭᖦᖢᒍ,t i k i ɬ ɬ u ɣ u,"ᖦ / ɬ"
ᐄᑉᐳᕈ,i ː p p u ʁ u,"ᐄ / iː --- BEGINNING OF LONG /i/-FINAL SYLLABLES"
ᐲᖅᑕᐅᕗᖅ,p i ː q t a u v u q,"ᐲ / piː"
ᖃᒧᑏᒃ,q a m u t i ː k,"ᑏ / tiː"
ᑮᓇᖅ,k i ː n a q,"ᑮ / kiː"
ᐊᔾᔨᒌᖏᑦᑐᓂᒃ,a j j i ɣ i ː ŋ i t t u n i k,"ᒌ / ɣiː"
ᖁᔭᓐᓇᒦᒃ,q u j a n n a m i ː k,"ᒦ / miː"
ᓃᖁᓗᒃᑐᖅ,n i ː q u l u k t u q,"ᓃ / niː"
ᐅᖃᐅᓰᑦ,u q a u s i ː t,"ᓰ / siː"
ᓄᓇᓖᑦ,n u n a l i ː t,"ᓖ / liː"
ᑲᑎᒪᔩᑦ,k a t i m a j i ː t,"ᔩ / jiː"
ᐅᐃᕖᑎᑐᓪᓗ,u i v i ː t i t u l l u,"ᕖ / viː"
ᑕᐱᕇᒃᑯᑦ,t a p i ʁ i ː k k u t,"ᕇ / ʁiː"
ᓂᖀᑦ,n i q i ː t,"ᖀ / qiː"
ᐃᕐᖐᓐᓇᖅ,i ʁ ŋ i ː n n a q,"ᖐ / ŋiː"
ᐆᒻᒪᑎ,u ː m m a t i,"ᐆ / uː --- BEGINNING OF LONG /u/-FINAL SYLLABLES"
ᐴᐹᖅ,p u ː p a ː q,"ᐴ / puː"
ᑑᒑᓕᒃ,t u ː ɣ a ː l i k,"ᑑ / tuː"
ᑰᒃ,k u ː k,"ᑰ / kuː"
ᐃᖕᒥᒎᖅᑐᑦ,i ŋ m i ɣ u ː q t u t,"ᒎ / ɣuː"
ᒪᒃᒨᕆ,m a k m u ː ʁ i,"ᒨ / muː"
ᓅᕙ,n u ː v a,"ᓅ / nuː"
ᑎᖕᒥᓲᖅ,t i ŋ m i s u ː q,"ᓲ / suː"
ᐊᓘᑦ,a l u ː t,"ᓘ / luː"
ᔫᑳᓐ,j u ː k a ː n,"ᔫ / juː"
ᐊᐃᑦᕘᑉ,a i t v u ː p,"ᕘ / vuː"
ᐸᕉ,p a ʁ u ː,"ᕉ / ʁuː"
ᓂᐊᖂᔮᖅ,n i a q u ː j a ː q,"ᖂ / quː"
ᑭᓐᖒᒪᔭᖏᑦ,k i n ŋ u ː m a j a ŋ i t,"ᖒ / ŋuː"
ᐋᒃᑲ,a ː k k a,"ᐋ / aː --- BEGINNING OF LONG /a/-FINAL SYLLABLES"
ᐹᓯᓂᖅ,p a ː s i n i q,"ᐹ / paː"
ᐊᑖᑕ,a t a ː t a,"ᑖ / taː"
ᑳᒃᑐᖅ,k a ː k t u q,"ᑳ / kaː"
ᑑᒑᖅ,t u ː ɣ a ː q,"ᒑ / ɣaː"
ᒫᓂᑑᐸ,m a ː n i t u ː p a,"ᒫ / maː"
ᐊᓈᓇ,a n a ː n a,"ᓈ / naː"
ᐅᓵᐃᐅ,u s a ː i u,"ᓵ / saː"
ᒪᒻᒪᓛᑎᒃ,m a m m a l a ː t i k,"ᓛ / laː"
ᓂᐊᖂᔮᖅ,n i a q u ː j a ː q,"ᔮ / jaː"
ᑎᒍᕚ,t i ɣ u v a ː,"ᕚ / vaː"
ᐊᕐᕌᒍᑕᒫᑦ,a ʁ ʁ a ː ɣ u t a m a ː t,"ᕌ / ʁaː"
ᖄᓐᕿᔭᐅᑦ,q a ː n q i j a u t,"ᖄ / qaː"
ᑐᖔᓂ,t u ŋ a ː n i,"ᖔ / ŋaː"
ᖥᒻᒪᑦᑐᒥᒃ,ɬ a ː m m a t t u m i k,"ᖥ / ɬaː"
ᒉᕓᙰᖡᖣ,ɣ a i v a i ŋ a i ɬ i ː ɬ u ː,"this is a string of all the syllables that weren't attested on Wiktionary or in the Crubadan corpus"
