адыгэбзэ,aː d ə ɣ a b z a,
бахъсымэ,b aː χ s ə m a,
вагъуэ,v aː ʁʷ a,
гъуэмылапхъэ,ʁʷ a m ə ɮ aː p χ a,
гъэщӏэгъуэн,ʁ a ɕʼ a ʁʷ a n,
ефакӏуэ,a f aː kʷʼ a,
жьы,ʑ ə,
иджырей,j ə dʒ ə r a j,
кӏагуэ,tʃʼ aː ɡʷ a,
набдзэ,n aː b dz a,
пжэндэхъу,p ʒ a n d a χʷ,
тхыбзэ,t x ə b z a,
ины,j ə n ə,
къэбэрдэйбзэ,q a b a r d a j b z a,
мылъку,m ə ɬ kʷ,
хыкхъуэ,x ə qʷʼ a,
зылӏэжын,z ə ɬʼ a ʒ ə n,
фошыгъу,f a w ʃ ə ʁʷ,
хьэпӏацӏэ,ħ a pʼ aː tsʼ a,
шхъуантӏэ,ʃ χʷ aː n tʼ a,
уасэ,w aː s a,
хьэуа,ħ a w aː,
щӏыкӏафӏэ,ɕʼ ə tʃʼ aː fʼ a,
хьэнцэ,ħ a n ts a,
нэчыхьытх,n a tʃ ə ħ ə t x,
ятӏэ,j aː tʼ a,
ӏанэ,ʔ aː n a,
ӏуэху,ʔʷ a xʷ,
ипэкӏэ,j ə p a tʃʼ a,
