aanaq,a ː n a q,"short and long a"
eqqaq,i q ː a q,"e"
uffarfik,u v ː a ʁ v i k,"f"
gigaluaq,ɣ i ɣ a l u a q,"g"
immiit,i m ː i ː t,"short and long i"
naja,n a j a,"j"
kakkua,k a k ː u a,"k"
malillugu,m a l i l ː u ɣ u,"l"
matuma,m a t u m a,"m"
naqinneq,n a q i n ː i q,"n"
kangoq,k a ŋ u q,"short ng"
kanngussak,k a ŋ ː u s ː a k,"long ng"
oqaluppoq,u q a l u p ː u q,"o"
pupik,p u p i k,"p"
qeriiaq,q i ʁ i ː a q,"q"
raajarniut,ʁ a ː j a ɴ i u t,"r"
tarnut,t a ɴ u t,"rn"
sissaq,s i s ː a q,"s"
tallimat,t a l ː i m a t,"t"
ullumi,u l ː u m i,"short u"
uuma,u ː m a,"long u"
vik,v i k,"v"
