akama,a k a m a,"a"
kayek,k ai e k,"ay"
beber,ᵐb e ᵐb e ɾ,"b"
cheebi,tʃ ɛ ᵐb i,"ch"
diin,ⁿd ɨ n,"d"
egeyebaka,e ᵑɡ ei e ᵐb a k a,"e"
eeta,ɛ t a,"ee"
keyapo,k ei a ɸ o,"ey"
giyishagu,ᵑɡ i j i ʃ a ᵑɡ u,"g"
hehar,h e h a ɾ,"h"
iyi,i j i,"i"
siikiir,s ɨ k ɨ ɾ,"ii"
magwiy,m a ᵑɡ w i,"final iy"
jecha,ⁿdʒ e tʃ a,"j"
kiikiir,k ɨ k ɨ ɾ,"k"
mima,m i m a,"m"
nona,n o n a,"n"
nyey,ɲ ei,"ny"
opoche,o ɸ o tʃ e,"o"
owaga,ou a ᵑɡ a,"ow"
popoy,ɸ o ɸ o j,"p"
rupu,ɾ u ɸ u,"r"
seechi,s ɛ tʃ i,"s"
shasha,ʃ a ʃ a,"sh"
teenye,t ɛ ɲ e,"t"
ukuka,u k u k a,"u"
varekwo,β a ɾ e k w o,"v"
wokwoya,w o k w o j a,"w"
yasaya,j a s ai a,"y"
yii'a,j ɨ ʔ a,"apostrophe"
