ಕಚಾಕ,k a tʃ a ː k a,"k"
ಖಡ್ಗ,kʰ a ɖ ɡ a,"kh"
ಗುಟ್ಟು,ɡ u ʈ ː u,"g"
ಘೋಣೆ,ɡʱ o ː ɳ e,"gh"
ಙ,n a,"n (velar allophone)"
ಚಮಚ,tʃ a m a tʃ a,"tsh"
ಸ್ವಚ್ಛ,s ʋ a tʃ tʃʰ a,"tshh"
ಜೂಜು,dʒ u ː dʒ u,"dzh"
ಬಝಾರ್,b a dʒʱ a ː r,"dzhh"
ಪ್ರಜ್ಞೆ,p r a dʒ n e,"n (palatal allophone)"
ಟಿಟ್ಟಿಭ,ʈ i ʈ ː i bʱ a,"retroflex t"
ಕಂಠ,k a ɳ ʈʰ a,"retroflex th"
ಬಿಡುಗಡೆ,b i ɖ u ɡ a ɖ e,"retroflex d"
ಪಟ್ಟಣ,p a ʈ ː a ɳ a,"retroflex n"
ಅಥವಾ,a t̪ʰ a ʋ a ː,"dental th"
ದೂರದರ್ಶನ,d̪ u ː r a d̪ a r ʃ a n a,"dental d"
ಧಬಧಬೆ,d̪ʱ a b a d̪ʱ a b e,"dental dh"
ನಾನು,n a ː n u,"n"
ಪಾಪ,p a ː p a,"p"
ತುಫಾನು,t̪ u pʰ a ː n u,"ph"
ಬಿಳಿಬದನೆ,b i ɭ i b a d̪ a n e,"b"
ಭುಜ,bʱ u dʒ a,"bh"
ಮಡಿಮಾಡು,m a ɖ i m a ː ɖ u,"m"
ಯಜ್ಞ,j a dʒ n a,"j (glide)"
ರಾತ್ರಿ,r a ː t̪ r i,"r"
ಲೋಟ,l o ː ʈ a,"l"
ವಿಧವೆ,ʋ i d̪ʱ a ʋ e,"labial approximant"
ಶಿಶು,ʃ i ʃ u,"sh"
ಷಟ್ಕೋನ,ʂ a ʈ k o ː n a,"retroflex s"
ಸರಸ್ಸು,s a r a s ː u,"s"
ಹಂಸ,h a n s a,"h"
ಸೆಳೆ,s e ɭ e,"retroflex l"
ಅರಣ್ಯ,a r a ɳ j a,"vowel - short a"
ಆಗು,a ː ɡ u,"vowel - long a"
ಇಳಿ,i ɭ i,"vowel - short i"
ಈರು,i ː r u,"vowel - long i"
ಉದ್ದ,u d̪ ː a,"vowel - short u"
ಊರು,u ː r u,"vowel - long u"
ಎಂಟು,e ɳ ʈ u,"vowel - short e"
ಏಳು,e ː ɭ u,"vowel - long e"
ಐದು,a j d̪ u,"vowel - ai"
ಒದವಿ,o d̪ a ʋ i,"vowel - short o"
ಓಡು,o ː ɖ u,"vowel - long o"
ಔಷಧಿ,a ʋ ʂ a d̪ʱ i,"vowel - au"
ಎಸ್,e s,"diacritic - null"
ಹಾಗೆ,h a ː ɡ e,"diacritic - long a"
ಹಿಂದೆ,h i n d̪ e,"diacritic - short i"
ನೀವು,n i ː ʋ u,"diacritic - long i"
ಒಂದು,o n d̪ u,"diacritic - short u"
ಕೂಡ,k u ː ɖ a,"diacritic - long u"
ನನಗೆ,n a n a ɡ e,"diacritic - short e"
ಮೇಲೆ,m e ː l e,"diacritic - long e"
ಹೊಸ,h o s a,"diacritic - short o"
ಹೋಗಿ,h o ː ɡ i,"diacritic - long o"
ಶುಂಠಿ,ʃ u ɳ ʈʰ i,"anusvara"
ಹೊಸಃ,h o s a h a,"visarga"
