ama,a m a,"a"
biiwia,b i ː w i a,"b"
daaya,d a ː j a,"d"
eja,e dz a,"e"
foŋ,f o ŋ, "f"
gegelao,ɡ e ɡ e l a o,"g"
hoŋa,h o ŋ a,"h"
ilaaja,i l a ː dz a,"i"
juuya,dz u ː j a,"j"
kooŋ,k o ː ŋ,"k"
laligori,l a l i ɡ o r i,"l"
meja,m e dz a,"m"
naana,n a ː n a,"n"
owa,o w a,"o"
pereto,p e r e t o,"p"
qamo,kp a m o,"q"
rari,r a r i,"r"
soko,s o k o,"s"
taaya,t a ː j a,"t"
umbeŋ,u m b e ŋ,"u"
awaa,a w a ː,"w"
yiist,j i ː s t,"y"
zenzoŋ,ts e n ts o ŋ,"z"
koŋaeŋ,k o ŋ a e ŋ,"ŋ"
gbamo,ɡb a m o,"gb"
aaŋa,a ː ŋ a,"aa"
neena,n e ː n a,"ee"
somariigi,s o m a r i ː ɡ i,"ii"
ooŋ,o ː ŋ, "oo"
kuuya,k u ː j a,"uu"
