аттьö,a t̪ c ɘ,а to a
быдöн,b ɨ d̪ ɘ n̪,б to b
выть,v ɨ c,в to v
югыд,j u ɡ ɨ d̪,г to ɡ
öдзöс,ɘ dʑ ɘ s̪,д to d
додь,d̪ o ɟ,д to ɟ
еджыд,j e ɖʐ ɨ d̪,е to je
Медшӧр,m j e d̪ ʂ ɘ r̪,е to je
зеп,ʑ e p,е to e
ёдi,j o d̪ i,ё to jo
сёрниа,ɕ o r̪ ɲ i a,ё to o
жыннян,ʐ ɨ n̪ ɲ a n̪,ж to ʐ
зiль,z̪ i ʎ,з to z
зильгöм,ʑ i ʎ ɡ ɘ m,з to ʑ
рази,r̪ a ʑ i,и to i
мазi,m a z̪ i,і to i
йöв,j ɘ v,й to j
йиӧн,j i ɘ n̪,й to j
согласнӧйяс,s̪ o ɡ l̪ a s̪ n̪ ɘ j ː a s̪,й to j
кальсы,k a ʎ s̪ ɨ,к to k
лэбач,l̪ e b a tɕ,л to l
лежнöг,ʎ e ʐ n̪ ɘ ɡ,л to ʎ
мыгöр,m ɨ ɡ ɘ r̪,м to m
кöнi,k ɘ n̪ i,н to n
лымань,l̪ ɨ m a ɲ,н to ɲ
озыр,o z̪ ɨ r̪,о to o
öшинь,ɘ ʂ i ɲ,ӧ to ɘ
пывсян,p ɨ v ɕ a n̪,п to p
руаöсь,r̪ u a ɘ ɕ,р to r
суйöр,s̪ u j ɘ r̪,с to s
сьывны,ɕ ɨ v n̪ ɨ,с to ɕ
томан,t̪ o m a n̪,т to t
тивзыны,c i v z̪ ɨ n̪ ɨ,т to c
кузь,k u ʑ,у to u
чöскыд,tɕ ɘ s̪ k ɨ d̪,ч to tɕ
шöр,ʂ ɘ r̪,ш to ʂ
лунъясӧ,l̪ u n̪ j a s̪ ɘ,ъ
ӧтувъя,ɘ t̪ u v j a,ъ
ырöш,ɨ r̪ ɘ ʂ,ы to ɨ
кöть,k ɘ c,ь
зэр,z̪ e r̪,э to e
юркар,j u r̪ k a r̪,ю to ju
сюрс,ɕ u r̪ s̪,ю to u
öнiя,ɘ n̪ i j a,я to jɑ
пывсян,p ɨ v ɕ a n̪,я to ɑ
уджач,u ɖʐ a tɕ,дж to ɖʐ
дзоридз,dʑ o r̪ i dʑ,дз to dʑ
кытш,k ɨ ʈʂ,тш to ʈʂ
аддзыны,a dʑ ː ɨ n̪ ɨ,
