acaka,a ˨ tʃ a ˨ k a ˨,"a"
abákálá,a ˨ p a ˦ k a ˦ l a ˦,"á"
bóbóo,p o ˦ p o ˦ o ˨,"b"
cɛɛsɛs,tʃ ɛ ˨ ː s ɛ ˨ s,"c"
enenyi,ɨ ˨ n ɨ ˨ ɲ i ˨,"e"
ehélé,ɨ ˨ h ɨ ˦ l ɨ ˦,"é"
ɛɛsɛsɛ,ɛ ˨ ː s ɛ ˨ s ɛ ˨,"ɛ"
ɛ́ɛhɛ́,ɛ ˦ ɛ ˨ h ɛ ˦,"ɛ́"
fufú,f u ˨ f u ˦,"f"
hɛhɛlɛ́,h ɛ ˨ h ɛ ˨ l ɛ ˦,"h"
indiŋisi,i ˨ ⁿd i ˨ ŋ i ˨ s i ˨,"i"
ebílícínyínyí,ɨ ˨ p i ˦ l i ˦ tʃ i ˦ ɲ i ˦ ɲ i ˦,"í"
kakáwɔ,k a ˨ k a ˦ w ɔ ˨,"k"
lɛbɛlɛbɛ,l ɛ ˨ p ɛ ˨ l ɛ ˨ p ɛ ˨,"l"
mutúme,m u ˨ t u ˦ m ɨ ˨,"m"
owoombi,o ˨ w o ˨ ː ᵐb i ˨,"mb"
nulénéne,n u ˨ l ɨ ˦ n ɨ ˦ n ɨ ˨,"n"
indíné,i ˨ ⁿd i ˦ n ɨ ˦,"nd"
nɔnjamɔ́,n ɔ ˨ ᶮdʒ a ˨ m ɔ ˦,"nj"
nyɛhaanyua,ɲ ɛ ˨ h a ˨ ː ɲ u ˨ a ˨,"ny"
nɔtɔŋɔtɔ́ŋɔ́,n ɔ ˨ t ɔ ˨ ŋ ɔ ˨ t ɔ ˦ ŋ ɔ ˦,"ŋ"
aláŋgɛ,a ˨ l a ˦ ᵑɡ ɛ ˨,"ŋg"
ohiolo,o ˨ h i ˨ o ˨ l o ˨,"o"
obólótóto,o ˨ p o ˦ l o ˦ t o ˦ t o ˨,"ó"
nɔbɔlɔ,n ɔ ˨ p ɔ ˨ l ɔ ˨,"ɔ"
acɔ́cɔ́lɔ́,a ˨ tʃ ɔ ˦ tʃ ɔ ˦ l ɔ ˦,"ɔ́"
sɔ́ɔ́kɔ́,s ɔ ˦ ː k ɔ ˦,"s"
tɔkɛ́ta,t ɔ ˨ k ɛ ˦ t a ˨,"t"
nufule,n u ˨ f u ˨ l ɨ ˨,"u"
ekúlú,ɨ ˨ k u ˦ l u ˦,"ú"
wáánye,w a ˦ ː ɲ ɨ ˨,"w"
yiici,j i ˨ ː tʃ i ˨,"y"
ó'o,o ˦ ʔ o ˨,"apostrophe"
