ajil,a χ i l,
ajb'il,a χ ɓ i l,
aqwil,a q w i l,
aq'il,a qʼ i l,
b'uchil,ɓ u tʃ i l,
b'utxil,ɓ u ʈʂ i l,
etzil,e ts i l,
itaye,i t a j e,
jaala,χ a ː l a,
jk'ul,χ kʼ u l,
luk'pil,l u kʼ p i l,
malni,m a l n i,
miina,m i ː n a,
pakil,p a k i l,
qanyen,q a n j e n,
texa,t e ʂ a,
te'y,t e ʔ j,
txol,ʈʂ o l,
tx'aji'n,ʈʂʼ a χ i ʔ n,
tz'e'ysil,tsʼ e ʔ j s i l,
wech,w e tʃ,
wuq,w u q,
xhilil,ʃ i l i l,
t-ximlala,t ʂ i m l a l a,
t-xabꞌ,t ʂ a ɓ,
pero,p e r o,
kye,c e,
q'ij,qʼ i χ,
t'iw,tʼ i w,
ch'in,tʃʼ i n,
tiipaky',t i ː p a cʼ,
ejee'y,e χ e ː ʔ j,
ootxa,o ː ʈʂ a,
xuuj,ʂ u ː χ,
