ana'ima,ɑ n ɑ ʔ i m ɑ,"a"
ijá,i dʑ ɑ,"á"
chera,tɕ e ɾ ɑ,"ch"
eja,e dʑ ɑ,"e"
heha,h e h ɑ,"h"
siria,s i ɾ i ɑ,"i"
ahija,ɑ h i dʑ ɑ,"j"
kutitia,k u t i t i ɑ,"k"
momora,m o m o ɾ ɑ,"m"
nana,n ɑ n ɑ,"n"
ojino,o dʑ i n o,"o"
piropa,p i ɾ o p ɑ,"p"
rejuroa,ɾ e dʑ u ɾ o ɑ,"r"
siasa,s i ɑ s ɑ,"s"
toata,t o ɑ t ɑ,"t"
uchuha,u tɕ u h ɑ,"u"
núni,n ʉ n i,"ú"
vina,β i n ɑ,"v"
'ajani,ʔ ɑ dʑ ɑ n i,"apostrophe"
oni,o n i,
huni,h u n i,
ijí,i dʑ i,
oja,o dʑ ɑ,
sisea,s i s e ɑ,
niho'o,n i h o ʔ o,
va'e,β ɑ ʔ e,
areri,ɑ ɾ e ɾ i,
roe,ɾ o e,
ira,i ɾ ɑ,
uné,u n e,
