saat,s̪ a a t̪,
dete,d̪ ɛ t̪ ɛ,
majka,m a j k a,
tatko,t̪ a t̪ k ɔ,
planina,p ɫ̪ a n̪ i n̪ a,
planinarite,p ɫ̪ a n̪ i n̪ a r i t̪ ɛ,
bela,b ɛ ɫ̪ a,
zele,z̪ ɛ l ɛ,
gjavolshtina,ɟ a v ɔ ɫ̪ ʃ t̪ i n̪ a,
dzirne,dz̪ i r n̪ ɛ,
jazichar,j a z̪ i tʃ a r,
kjupche,c u p tʃ ɛ,
juzhnjak,j u ʒ ɲ a k,
djoger,dʒ ɔ ɡ ɛ r,
vampirski,v a m p i r s̪ k i,
giht,ɡ i x t̪,
darezhlivost,d̪ a r ɛ ʒ l i v ɔ s̪ t̪,
lulence,ɫ̪ u l ɛ n̪ ts̪ ɛ,
logoruva,ɫ̪ ɔ ɡ ɔ r u v a,
perfidnost,p ɛ r f i d̪ n̪ ɔ s̪ t̪,
permutacija,p ɛ r m u t̪ a ts̪ i j a,
biljbilj,b i l b i l,
biljbili,b i l b i l i,
nabljuduvachki,n̪ a b l u d̪ u v a tʃ k i,
beljadjija,b ɛ l a dʒ i j a,
aljkavost,a l k a v ɔ s̪ t̪,
vljubenost,v l u b ɛ n̪ ɔ s̪ t̪,
vistinoljubivost,v i s̪ t̪ i n̪ ɔ l u b i v ɔ s̪ t̪,
vlastoljubivost,v ɫ̪ a s̪ t̪ ɔ l u b i v ɔ s̪ t̪,
pljampa,p l a m p a,
raspljampa,r a s̪ p l a m p a,
seljachi,s̪ ɛ l a tʃ i,
hmelj,x m ɛ l,
ladnichok,ɫ̪ a d̪ n̪ i tʃ ɔ k,
smrtta,s̪ m r t̪ ː a,
budzhet,b u dʒ ɛ t̪,
pretsedatel,p r ɛ ts̪ ɛ d̪ a t̪ ɛ ɫ̪,
