baine,b a i n e,
wai,w a i,
iko,i k o,
unnali,u n ː a l i,
uulu,u u l u,
dassi,d a s ː i,
dao,d a o,
angku',a ŋ k u ʔ,
anggoro,a ŋ ɡ o r o,
ma'kada,m a ʔ k a d a,
mambela,m a m b e l a,
mangganga',m a ŋ ɡ a ŋ a ʔ,
mellong,m e l ː o ŋ,
tumangi',t u m a ŋ i ʔ,
ruppia,r u p ː i a,
sa'bu,s a ʔ b u,
pelak-pelak,p e l a k p e l a k,
yakenna,j a k e n ː a,
mangngiru',m a ŋ ː i r u ʔ,
attu,a t ː u,
rokko,r o k ː o,
ammu,a m ː u,
anna,a n ː a,
torro,t o r ː o,
nakua,n a k u a, 
inde,i n d e, 
dengan,d e ŋ a n,
illalan,i l ː a l a n,
dio,d i o, 
angganna,a ŋ ɡ a n ː a,
mai,m a i, 
duka',d u k a ʔ,
kumua,k u m u a, 
sola,s o l a,
mesa,m e s a,
