acuvo̱pa,ʔ a k u v o p a,"a"
a̱xpa̱j,ʔ ʌ ʂ p ʌ h,"a̱"
caa'c,k a ː ʔ k,"c"
cha̱a̱x,ʂ ʌ ː ʂ,"ch"
madooctay,m a d ʊ ː k t a j,"d"
ne'ev,n e ʔ e v,"e"
e̱jcx,ʔ æ h k ʂ,"e̱"
mugo'oc,m u ɡ ʊ ʔ ʊ k,"g"
ix'it,ʔ i ʂ ʔ i t,"i"
jaajm,h a ː h m,"j"
ma̱ja̱pu̱m,m ʌ h ʌ p ɨ m,"m"
na'tsu̱n,n a ʔ ts ɨ n,"n"
ña̱yo̱jxip,n ʌ j o h ʂ i p,"ñ"
oso,ʔ ʊ s ʊ,"o"
o̱tyo̱jcx,ʔ o t j o h k ʂ,"o̱"
pamiimp,p a m i ː m p,"p"
que̱e̱p,k æ ː p,"qu"
miistu,m i ː s t u,"s"
todojtu̱c,t ʊ d ʊ h t ɨ k,"t"
tuctsets,t u k ts e ts,"ts"
tsach'aa'c,ts a ʂ ʔ a ː ʔ k,"apostrophe"
pu'ut,p u ʔ u t,"u"
nu̱u̱'pu̱n,n ɨ ː ʔ p ɨ n,"u̱"
va̱v,v ʌ v,"v"
xaquix,ʂ a k i ʂ,"x"
yaa'y,j a ː ʔ j,"y"
