nari',n a d i ʔ,"<a>"
aa'na',a ː ʔ n a ʔ,"<aa>"
bakaang,b a k a ː n,"<b>"
dii',d i ː ʔ,"<d>"
teie,t e i e,"<e>"
tee,t e ː,"<ee>"
teing,t e i n,"<i>"
nii',n i ː ʔ,"<ii>"
ee'noko,e ː ʔ n o k o,"<k>"
tampa',t a m p a ʔ,"<m>"
ninka,n i n k a,"<n>"
napo',n a p o ʔ,"<o>"
nantoong,n a n t o ː n,"<oo>"
aa'puu',a ː ʔ p u ː ʔ,"<p>"
ookara,o ː k a d a,"<r>"
makosi,m a k o t i,"<s>"
tee',t e ː ʔ,"<t>"
narung,n a d u n,"<u>"
kuung,k u ː n,"<uu>"
pava,p a b a,"<v>"
noru',n o d u ʔ,"apostrophe"
ketsemani,k e t e m a n i,"<ts>"
ning,n i n,"<ng>"
tee-koo,t e ː k o ː,
basi,b a t i,
osi,o t i,
dau,d a u,
kansi'koo,k a n t i ʔ k o ː,
dakaang,d a k a ː n,
bauring,b a u d i n,
