aba,a ˧ b a ˧,"a"
bazáná,b a ˧ dz a ˦ n a ˦,"á"
dtcàrà,ᶢǂ a ˨ ɾ a ˨,"à"
bãa-bãa,b ã a ˧ b ã a ˧,"ã"
ba̱ra,b aˤ ɾ a ˧,"a̱"
mã̱e,m ãˤ e ˧,"ã̱"
bambara,b a ˧ m b a ˧ ɾ a ˧,"b"
càù,ǀ a ˨ u ˨,"c"
cgáì,ǀx a ˦ i ˨,"cg"
cg'ãa-cg'ana,ǀxʼ ã a ˧ ǀxʼ a ˧ n a ˧,"cg'"
chóré,ǀʰ o ˦ ɾ e ˦,"ch"
c'onè,ǀʼ o ˧ n e ˨,"c'"
dcìì,ᶢǀ i ˨ i ˨,"dc"
ncãa,ⁿǀ ã a ˧,"nc"
domka,d o ˧ m k a ˧,"d"
berese,b e ˧ ɾ e ˧ s e ˧,"e"
zéné,dz e ˦ n e ˦,"é"
cèè,ǀ e ˨ e ˨,"è"
hẽethẽé,h ẽ e ˧ tʰ ẽ e ˦,"ẽ"
fa̱ísì,f aˤ i ˦ s i ˨,"f"
gabaga,x a ˧ b a ˧ x a ˧,"g"
ghànè,ɡ a ˨ n e ˨,"gh"
hàekg'aà,h a ˨ e ˧ kxʼ a ˧ a ˨,"h"
nciriga,ⁿǀ i ˧ ɾ i ˧ x a ˧,"i"
kíí,k i ˦ i ˦,"í"
tìbì,t i ˨ b i ˨,"ì"
káàkagu,k a ˦ a ˨ k a ˧ x u ˧,"k"
kgo-kgori,kx o ˧ kx o ˧ ɾ i ˧,"kg"
kg'áí,kxʼ a ˦ i ˦,"kg'"
khàm̀,kʰ a ˨ m ˨,"kh"
mama-coa,m a ˧ m a ˧ ǀ o ˧ a ˧,"m"
tháḿ-tham,tʰ a ˦ m ˦ tʰ a ˧ m,"ḿ"
ca̱m̀,ǀ aˤ m ˨,"m̀"
no̱be,n oˤ b e ˧,"n"
hororo,h o ˧ ɾ o ˧ ɾ o ˧,"o"
kókó,k o ˦ k o ˦,"ó"
nqòò,ⁿǃ o ˨ o ˨,"ò"
cõo-cõó,ǀ õ o ˧ ǀ õ o ˦,"õ"
ko̱bi-ko̱bi,k oˤ b i ˧ k oˤ b i ˧,"o̱"
cõ̱é,ǀ õˤ e ˦,"õ̱"
papí,p a ˧ p i ˦,"p"
phìi-phii,pʰ i ˨ i ˧ pʰ i ˧ i ˧,"ph"
qaò,ǃ a ˧ o ˨,"q"
qgóó,ǃx o ˦ o ˦,"qg"
qg'ats'o,ǃxʼ a ˧ tsʼ o ˧,"qg'"
qhòm-qhom,ǃʰ o ˨ m ǃʰ o ˧ m,"qh"
q'ana,ǃʼ a ˧ n a ˧,"q'"
dqàbà,ᶢǃ a ˨ b a ˨,"dq"
nqãaka,ⁿǃ ã a ˧ k a ˧,"nq"
q'ore,ǃʼ o ˧ ɾ e ˧,"r"
sidcibi,s i ˧ ᶢǀ i ˧ b i ˧,"s"
tã̱à,t ãˤ a ˨,"t"
tgabi,tx a ˧ b i ˧,"tg"
thõò-xam,tʰ õ o ˨ ǁ a ˧ m,"th"
tcárà,ǂ a ˦ ɾ a ˨,"tc"
tcgábí,ǂx a ˦ b i ˦,"tcg"
tcg'aox'ãe,ǂxʼ a ˧ o ˧ ǁʼ ã e ˧,"tcg'"
tchàno,ǂʰ a ˨ n o ˧,"tch"
tc'ẽè,ǂʼ ẽ e ˨,"tc'"
dtcẽe,ᶢǂ ẽ e ˧,"dtc"
ntcene,ⁿǂ e ˧ n e ˧,"ntc"
tsa̱ḿ,ts aˤ m ˦,"ts"
tshàu,tsʰ a ˨ u ˧,"tsh"
ts'ao,tsʼ a ˧ o ˧,"ts'"
dquuguru,ᶢǃ u ˧ u ˧ x u ˧ ɾ u ˧,"u"
chúrú,ǀʰ u ˦ ɾ u ˦,"ú"
ghùbù-ghùbú,ɡ u ˨ b u ˨ ɡ u ˨ b u ˦,"ù"
xa̱a-xa̱bà,ǁ aˤ a ˧ ǁ aˤ b a ˨,"x"
xgõo,ǁx õ o ˧,"xg"
xg'ari,ǁxʼ a ˧ ɾ i ˧,"xg'"
xhàru,ǁʰ a ˨ ɾ u ˧,"xh"
x'úrú,ǁʼ u ˦ ɾ u ˦,"x'"
dxãàku,ᶢǁ ã a ˨ k u ˧,"dx"
nxàbo,ⁿǁ a ˨ b o ˧,"nx"
tcgãya,ǂx ã a ˧,"y"
zìrí,dz i ˨ ɾ i ˦,"z"
