badaraga,b a d a ɻ a ɡ a,"a"
baawul,b aː w u l,"aa"
bajbara,b a ɟ b a ɻ a,"b"
diḏiḏ,d i ɖ i ɖ,"d"
dhangara,d̪ a ŋ a ɻ a,"dh"
ḏugdabala,ɖ u ɡ d a b a l a,"ḏ"
gaagag,ɡ aː ɡ a ɡ,"g"
giḏigiḏi,ɡ i ɖ i ɡ i ɖ i,"i"
jirrgij,ɟ i ɾ ɡ i ɟ,"j"
larawal,l a ɻ a w a l,"l"
lhalaman,l̪ a l a m a n,"lh"
ḻaḻma,ɭ a ɭ m a,"ḻ"
maḻaamar,m a ɭ aː m a ɻ,"m"
nidhun,n i d̪ u n,"n"
ṉuṉma,ɳ u ɳ m a,"ṉ"
ngalng,ŋ a l ŋ,"ng"
nyiny-ma,ɲ i ɲ m a,"ny"
ramu-nyij,ɻ a m u ɲ i ɟ,"r"
rrangag,ɾ a ŋ a ɡ,"rr"
dhuduju,d̪ u d u ɟ u,"u"
waḻan,w a ɭ a n,"w"
yiwujun,j i w u ɟ u n,"y"
