aharanta,ɘ h ɘ ɾ ɘ ⁿt ɘ,"a"
aahaaqi,aː h aː ʔ i,"aa"
aikaikara,ɘj k ɘj k ɘ ɾ ɘ,"ai"
aukauke,ɘw k ɘw k ɛː,"au"
enena,ɛː n ɛː n ɘ,"e"
haahuqaa,h aː h u ʔ aː,"h"
hiqinti,h i ʔ i ⁿt i,"i"
kaikoki,k ɘj k ɔː k i,"k"
nraakye,ɾ̃ aː kʲ ɛː,"ky"
memera,m ɛː m ɛː ɾ ɘ,"m"
mpampuara,ᵐp ɘ ᵐp u ɘ ɾ ɘ,"mp"
mwiva,β̃ i β ɘ,"mw"
nainiqama,n ɘj n i ʔ ɘ m ɘ,"n"
aunkanka,ɘw ᵑk ɘ ᵑk ɘ,"nk"
nkyiara,ᵑkʲ i ɘ ɾ ɘ,"nky"
nramanri,ɾ̃ ɘ m ɘ ɾ̃ i,"nr"
ntainti,ⁿt ɘj ⁿt i,"nt"
nyinro,nʲ i ɾ̃ ɔː,"ny"
oroviaqa,ɔː ɾ ɔː β i ɘ ʔ ɘ,"o"
popaaqu,p ɔː p aː ʔ u,"p"
qahiaqu,ʔ ɘ h i ɘ ʔ u,"q"
raarira,ɾ aː ɾ i ɾ ɘ,"r"
siseri,s i s ɛː ɾ i,"s"
titite,t i t i t ɛː,"t"
kururu,k u ɾ u ɾ u,"u"
vakuvu,β ɘ k u β u,"v"
