ed,ɛ d̪, e goes to /ɛ/; d goes to /d̪/
na,n̪ a, n goes to /n̪/; a goes to /a/
so,s ɔ, s goes to /s/; o goes to /ɔ/
ya,j a, y goes to /j/
tan,t̪ a n̪, t goes to /t̪/
saray,s a r̪ a j, r goes to /r̪/
balet,b a l̪ ɛ t̪,b goes to /b/; l goes to /l̪/
singa,s i ŋ a, i goes to /i/; ng goes to /ŋ/
nepeg,n̪ ɛ p ɛ ɡ, p goes to /p/; g goes to /g/
anghil,a ŋ h i l̪, h goes to /h/
sakey,s a k ɛ j, k goes to /k/
met,m ɛ t̪, m goes to /m/
lapud,l̪ a p u d̪, u goes to /u/
walay,w a l̪ a j, w goes to /w/
cristo,k r̪ i s t̪ ɔ, c goes to /k/
ciudad,s i u d̪ a d̪, c goes to /s/ before front vowels
fecha,p ɛ tʃ a, f goes to /p/; ch goes to /tʃ/
pasajero,p a s a h ɛ r̪ ɔ, j goes to /h/
malasiqui,m a l̪ a s i k i, qu goes to /k/
jueves,h u ɛ b ɛ s, v goes to /b/
plaza,p l̪ a s a, z goes to /s/
ko,k ɔ,
diad,d̪ i a d̪,
yo,j ɔ,
iray,i r̪ a j,
say,s a j,
mo,m ɔ,
ray,r̪ a j,
ra,r̪ a,
amin,a m i n̪,
tayo,t̪ a j ɔ,
sikato,s i k a t̪ ɔ,
ak,a k,
ton,t̪ ɔ n̪,
ni,n̪ i,
