àlawàta,a ˨ l a w a ˨ t a,
báawaca,b a ː ˦ w a k a,
bachínamáiwaca,b a ts i ˦ n a m a ˦ i w a k a,
batalísa,b a t a l i ˦ s a,
cài,k a ˨ i,
chènunibàa,ts e ˨ n u n i b a ː ˨,
dèewia,d e ː ˨ w i a,
erìba,e ɾ i ˨ b a,
íideca,i ː ˦ d e k a,
jíiri,h i ː ˦ ɾ i,
luélué,l u e ˦ l u e ˦,
quéesi,k e ː ˦ s i,
ituíyáapi,i t u i ˦ j a ː ˦ p i,
iyú,i j u ˦,
yùuwichàacáisi,j u ː ˨ w i ts a ː ˨ k a ˦ i s i,
íimaca,i ː ˦ m a k a,
wenàiwica,w e n a ˨ i w i k a,
íicha,i ː ˦ ts a,
irí,i ɾ i ˦,
ìwali,i ˨ w a l i,
càide,k a ˨ i d e,
yá,j a ˦,
yàasu,j a ː ˨ s u,
itàacái,i t a ː ˨ k a ˦ i,
nía,n i ˦ a,
pía,p i ˦ a,
èeri,e ː ˨ ɾ i,
wía,w i ˦ a,
áibanái,a ˦ i b a n a ˦ i,
tàacáisi,t a ː ˨ k a ˦ i s i,
