da,d a,"a"
bo,b o,"b"
damsi,d a m s i,"d"
ke,k ɛ,"e"
sago,s a ɡ o,"g"
kegha,k ɛ ɣ a,"gh"
gwabinai,ɡʷ a b i n a i,"gw"
ina,i n a,"i"
makamakii,m a k a m a k ɨ,"ii"
ku,k u,"k"
kwanatuna,kʷ a n a t u n a,"kw"
ma,m a,"m"
kana,k a n a,"n"
kamonai,k a m o n a i,"o"
rewapana,ɾ ɛ w a p a n a,"p"
mara,m a ɾ a,"r"
sisiya,s i s i j a,"s"
ita,i t a,"t"
tuna,t u n a,"u"
ivi,i v i,"v"
wawaya,w a w a j a,"w"
iyamna,i j a m n a,"y"
nani,n a n i,
yavata,j a v a t a,
kona,k o n a,
weni,w ɛ n i,
bera,b ɛ ɾ a,
kurina,k u ɾ i n a,
iti,i t i,
kirakai,k i ɾ a k a i,
