ayapampa,a j a p a m p a,"a"
chichuyay,tʃ i tʃ u j a j,"ch"
chhalla,tʃʰ a ʎ a,"chh"
ch'iri,tʃʼ i ɾ i,"ch'"
rey,ɾ i j,"e"
huhllay,h u h ʎ a j,"h"
iñi,i ɲ i,"i"
kichka,k i tʃ k a,"k"
khata,kʰ a t a,"kh"
k'usillu,kʼ u s i ʎ u,"k'"
laqha,l a qʰ a,"l"
llulla,ʎ u ʎ a,"ll"
mitma,m i t m a,"m"
ninay,n i n a j,"n"
ñawpa,ɲ a w p a,"ñ"
ñoqa,ɲ u q a,"o"
pupu,p u p u,"p"
phaway,pʰ a w a j,"ph"
p'api,pʼ a p i,"p'"
qillqa,q i ʎ q a,"q"
qhari,qʰ a ɾ i,"qh"
q'imiy,qʼ i m i j,"q'"
rikuriy,ɾ i k u ɾ i j,"r"
suysuy,s u j s u j,"s"
shullpinay,ʃ u ʎ p i n a j,"sh"
tuktu,t u k t u,"t"
thuñiy,tʰ u ɲ i j,"th"
t'aqa,tʼ a q a,"t'"
unquy,u n q u j,"u"
wawqi,w a w q i,"w"
yaykuy,j a j k u j,"y"
