yktsikãrã,ɨ k tʃ i k ã ɾ ã,
awatu,a w a t u,
bua,b u a,
tsahwa,tʃ a h w a,
tsumuẽhĩ,tʃ ũ m u ẽ h ĩ,
disaha,d i ʃ a h a,
ezuk,e ɾ̪ u k,
epypyk,e p ɨ p ɨ k,
harahareziktsa,h a ɾ a h a ɾ e ɾ̪ i k tʃ a,
haĩ,h a ĩ,
jaba,j a b a,
jokboha,j o k b o h a,
ki,k i,
koikny,k o i k n ɨ,
tsõ,tʃ õ,
hyỹ,h ɨ ɨ̃,
humo,h ũ m o,
niy,n i ɨ,
batu,b a t u,
kytsa,k ɨ tʃ a,
harere,h a ɾ e ɾ e,
zuba,ɾ̪ u b a,
zeka,ɾ̪ e k a,
kino,k ĩ n o,
tsimaha,tʃ ĩ m a h a,
nikaranaha,n i k a ɾ ã n a h a,
ana,ã n a,
niwatihi,n i w a t i h i,
tsimykaranaha,tʃ ĩ m ɨ k a ɾ ã n a h a,
nipamykysokonaha,n i p ã m ɨ k ɨ ʃ o k õ n a h a,
tsikaeni,tʃ i k a ẽ n i,
nyny,n ɨ̃ n ɨ,
