abandonabil,a b a n̪ d̪ o n̪ a b i l̪,
abacă,a b a k ɜ,
abație,a b a t̪s i e,
abataj,a b a t̪ a ʒ,
acoperiș,a k o p e r̪ i ʃ,
balamuc,b a l̪ a m u k,
balustru,b a l̪ u s̪ t̪ r̪ u,
bătrânețe,b ɜ t̪ r̪ ɨ n̪ e t̪s e,
hamsie,h a m s̪ i e,
haotic,h a o t̪ i k,
harnic,h a r̪ n̪ i k,
hasmațuchi,h a s̪ m a t̪s u k,
hazardat,h a z̪ a r̪ d̪ a t̪,
salvie,s̪ a l̪ v i e,
samcă,s̪ a m k ɜ,
sălbăticiune,s̪ ɜ l̪ b ɜ t̪ i tʃ u n̪ e,
magistrat,m a dʒ i s̪ t̪ r̪ a t̪,
manechin,m a n̪ e k i n̪,
fost,f o s̪ t̪,
greu,ɡ r̪ e u,
în,ɨ n̪,
exista,e k s̪ i s̪ t̪ a,
aceasta,a tʃ a s̪ t̪ a,
poate,p oa t̪ e,
acest,a tʃ e s̪ t̪,
general,dʒ e n̪ e r̪ a l̪,
legea,l̪ e dʒ a,
legii,l̪ e dʒ i i,
veche,v e k e,
cheama,k a m a,
vechi,v e k,
chiar,k a r̪,
supraveghere,s̪ u p r̪ a v e ɡ e r̪ e,
gheata,ɡ a t̪ a,
ghid,ɡ i d̪,
maghiari,m a ɡ a r̪ i,
