agara,a ɡ a ɾ a,"a"
aapaapau,a ː p a ː p a u,"aa"
eakerea,e a k e ɾ e a,"e"
eeko,e ː k o,"ee"
gigisa,ɡ i ɡ i t a,"g"
iarei,i a ɾ e i,"i"
iirui,i ː ɾ u i,"ii"
kakiaki,k a k i a k i,"k"
oaraoto,o a ɾ a o t o,"o"
ooro,o ː ɾ o,"oo"
piaopa,p i a o p a,"p"
reroaro,ɾ e ɾ o a ɾ o,"r"
sisevi,t i t e β i,"s"
tavete,t a β e t e,"t"
ururau,u ɾ u ɾ a u,"u"
uureo,u ː ɾ e o,"uu"
vavuvira,β a β u β i ɾ a,"v"
vo,β o,
iava,i a β a,
oiso,o i t o,
rutu,ɾ u t u,
ora,o ɾ a,
rera,ɾ e ɾ a,
osa,o t a,
irara,i ɾ a ɾ a,
viapau,β i a p a u,
vao,β a o,
voea,β o e a,
ita,i t a,
visii,β i t i ː,
