addad,a d ː a d,"a"
babbur,b a b ː u r,"b"
didsn,d i d s n,"d"
nḍaḍ,n dˤ a dˤ,"ḍ"
flufel,f l u f l,"e"
lɛaql,l ʕ a q l,"ɛ"
f-uggjdi,f u ɡ ː ʒ d i,"f"
gaga,ɡ a ɡ a,"g"
ġ-uġaras,ʁ u ʁ a r a s,"ġ"
hudhud,h u d h u d,"h"
imḥḍarn,i m ħ dˤ a r n,"ḥ"
lh̬bar,l χ b a r,"h̬"
ifindi,i f i n d i,"i"
ijjnjm,i ʒ ː n ʒ m,"j"
tuj̣j̣ut,t u ʒˤ ː u t,"j̣"
kullu,k u l ː u,"k"
lalla,l a l ː a,"l"
ḷaditt,lˤ a d i t ː,"ḷ"
miargam,m i a r ɡ a m,"m"
nnunt,n ː u n t,"n"
ṇal,nˤ a l,"ṇ"
qilliq,q i l ː i q,"q"
ruizrug,r u i z r u ɡ,"r"
ṛufla,rˤ u f l a,"ṛ"
sausa,s a u s a,"s"
ṣifṣaf,sˤ i f sˤ a f,"ṣ"
šašk,ʃ a ʃ k,"š"
tajbirt,t a ʒ b i r t,"t"
ṭaẓẓiṭ,tˤ a zˤ ː i tˤ,"ṭ"
ururd,u r u r d,"u"
wawudiḍ,w a w u d i dˤ,"w"
uggʷar,u ɡ ɡʷ a r,"ʷ"
yʷh̬šn,j χʷ ʃ n,"ʷh̬"
xubayr,χ u b a j r,"x"
ayt-yudaya,a j t j u d a j a,"y"
zigziu,z i ɡ z i u,"z"
ẓufer,zˤ u f r,"ẓ"
