ahuá,a w a,"a"
bébati,β ɨ β a t i,"b"
cácaati,k a k a a t i,"c"
chichínti,tʃ i tʃ i n t i,"ch"
éseti,ɨ s ɨ t i,"e"
huáihuanti,w a i w a n t i,"hu"
ibínti,i β i n t i,"i"
janqués̈hti,h a n k ɨ ʂ t i,"j"
iki,i k i,"k"
mémio,m ɨ m i o,"m"
ninóti,n i n o t i,"n"
ochóma,o tʃ o m a,"o"
papéti,p a p ɨ t i,"p"
quenqués̈h,k ɨ n k ɨ ʂ,"qu"
rampárin,ɻ a m p a ɻ i n,"r"
sísirono,s i s i ɻ o n o,"s"
shequésh,ʃ ɨ k ɨ ʃ,"sh"
s̈hás̈ho,ʂ a ʂ o,"s̈h"
táshati,t a ʃ a t i,"t"
tsatsán,ts a ts a n,"ts"
xáxati,ʂ a ʂ a t i,"x"
yácoa,j a k o a,"y"
