ශ්‍රී	ʃ r i ː	"zero width joiner and vowel diacritic and vowel length"
අම්මා	a m ː a ː	"starts with a vowel, diacritic that deletes vowels, consonant gemination"
තක්කාලි	t̪ a k ː a ː l i	"inherent a, dental t"
ස්මෘතිය	s m r i t̪ i j a	"r i vowel diacritic"
විශ්වකෝෂය	ʋ i ʃ ʋ a k o ː ʃ a j a	"complex vowel diacritics"
අන්තර්	a n t̪ a r	"ends with deleting vowel diacritic"
ලඟ	l a ᵑɡ a	"prenasalizedngga"
අඬනවා	a ⁿɖ a n a ʋ a ː	"prenasalizednretroda"
හොඳ	h o ⁿd̪ a	"prenasalizedndentalda"
කුහුඹුවා	k u h u ᵐb u ʋ a ː	"prenasalizedmba"
චන්ද්‍රිකාව	tʃ a n d̪ r i k a ː ʋ a	"affricate tʃ"
පොදුරාජ්‍ය	p o d̪ u r a ː dʒ j a	"affricate dʒ"
හැඳින්වූ	h æ ⁿd̪ i n ʋ u ː	"vowel special character and prenasalized consonant ndentald"
ඇරඹුනු	æ r a ᵐb u n u	"vowel special character and prenasalized consonant mb"
ගෑනි	ɡ æ ː n i	"long ae"
ගණන්	ɡ a n a n	"two different orthographies for n"
බෞද්ධ	b au d̪ ː a	"au diacritic and consonant gemination, two different orthographies for dental d"
කෛරාටිකයෙනි	k ai r a ː ʈ i k a j e n i	"ai diacritic"
සිංහල	s i ŋ h a l a	"anusvara"
කෘෂිකර්මය	k r i ʃ i k a r m a j a	"r i diacritic"
ආපනශාලාව	a ː p a n a ʃ a ː l a ː ʋ a	"aplus"
ඈතට	æ ː t̪ a ʈ a	"aeplus"
ඉංග්‍රීසි	i ŋ ɡ r i ː s i	"i"
ඊජිප්තුව	i ː dʒ i p t̪ u ʋ a	"iplus"
උදේ	u d̪ e ː	"u"
ඌරුව	u ː r u ʋ a	"uplus"
ඍ	r i	"ri"
ඎ	r i ː	"riplus"
එකොළහ	e k o l a h a	"e"
ඒක	e ː k a	"eplus"
ඓක්‍යය	ai k j a j a	"ai"
ඔටුවා	o ʈ u ʋ a ː	"o"
ඕස්ට්‍රේලියාව	o ː s ʈ r e ː l i j a ː ʋ a	"oplus"
ඖෂධ	au ʃ a d̪ a	"au"
සුනඛයා	s u n a k a j a ː	"ka second"
ඝ	ɡ a	"ga second"
ඞ	ŋ a	"nga"
ඡදන	tʃ a d̪ a n a	"cha second"
සජ්ඣායනය	s a dʒ ː a ː j a n a j a	"dza second"
ජ්‍යෙෂ්ඨ	dʒ j e ʃ ʈ a	"retrota second"
කඩනවා	k a ɖ a n a ʋ a ː	"retroda first"
ඪාකා	ɖ a ː k a ː	"retroda second"
කෝමලාස්ථි	k o ː m a l a ː s t̪ i	"dentalta second"
නිෂ්ඵල	n i ʃ p a l a	"pa second"
භූතානය	b u ː t̪ a ː n a j a	"ba second"
ෆ	f a	"fa"
කෲ	k r i ː	"diariplus"
අඃ	a h	"visarga"
