मेकोपुकी,m e k o p u k i,"क / k ----- BEGINNING OF CONSONANTS"
खोदेशो,kʰ o d̪ e ʃ o,"ख / kʰ"
गन्‍ती,ɡ a n t̪ i,"ग / ɡ"
घन्‍टा,ɡʱ a n ʈ aː,"घ / ɡʱ"
ङोंइती,ŋ õ i t̪ i,"ङ / ŋ"
चहिं,tʃ a h ĩ,"च / tʃ"
छक,tʃʰ a k a,"छ / tʃʰ"
जचा,dʒ a tʃ aː,"ज / dʒ"
झोला,dʒʱ o l aː,"झ / dʒʱ"
मटीब,m a ʈ i b a,"ट / ʈ"
ठीक,ʈʰ i k a,"ठ / ʈʰ"
लडाइ,l a ɖ aː i,"ड / ɖ"
मुढा,m u ɖʱ aː,"ढ / ɖʱ"
ङोंइती,ŋ õ i t̪ i,"त / t̪"
थमा,t̪ʰ a m aː,"थ / t̪ʰ"
दाऊद,d̪ aː uː d̪ a,"द / d̪"
गधा,ɡ a d̪ʱ aː,"ध / d̪ʱ"
निक्‍शी,n i k ʃ i,"न / n"
पिप,p i p a,"प / p"
निसाफ,n i s aː pʰ a,"फ / pʰ"
बाक्‍ब,b aː k b a,"ब / b"
भजन,bʱ a dʒ a n a,"भ / bʱ"
मारदे,m aː ɾ a d̪ e,"म / m"
यावे,j aː w e,"य / j"
परमप्रभु,p a ɾ a m a p ɾ a bʱ u,"र / ɾ"
लोव़,l o w a,"ल / l"
वारच,w aː ɾ a tʃ a,"व / w"
सम्‍म,s a m m a,"स / s"
तशा,t̪ a ʃ aː,"श / ʃ"
हन्‍ना,h a n n aː,"ह / h"
अर्को,a ɾ k o,"अ / a ----- BEGINNING OF VOWEL CHARACTERS"
आन,aː n a,"आ / aː"
पाइब,p aː i b a,"इ / i"
उत्‍पत्ती,u t̪ p a t̪ t̪ i,"उ / u"
दाऊदमी,d̪ aː uː d̪ a m i,"ऊ / uː"
एको,e k o,"ए / e"
ऐन,ai n a,"ऐ / ai"
ओटा,o ʈ aː,"ओ / o"
नेल्,n e l," ् / null ----- BEGINNING OF DIACRITICS"
पा,p aː," ा / aː"
रिम्‍शो,ɾ i m ʃ o," ि / i"
मुर,m u ɾ a," ु / u"
यहू,j a h uː," ू / uː"
मेको,m e k o," े / e"
खोदेशो,kʰ o d̪ e ʃ o," ो / o"
आं,ãː," ं / nasalizer"
नेए्ल,n e ʔ l a,"glottal stop"
