"கசிவு"	"k a tʃ i ʋ u"	"KA CHA DIACRITICI VA DIACRITICU"
"அங்கீகரிக்கப்பட்ட"	"a n k i ː k a ɾ i k ː a p ː a ʈ ː a"	"A NGA DIACRITICPULLI KA DIACRITICII KA TAP DIACRITICI KA DIACRITICPULLI KA PA DIACRITICPULLI PA RETROFLEXTA DIACRITICPULLI RETROFLEXTA"
"ஞாயிறு"	"n a ː j i ɾ u"	"NJA DIACRITICAA YA DIACRITICI RA DIACRITICU"
"அணி"	"a ɳ i"	"A RETROFLEXNA DIACRITICI"
"தங்கம்"	"t̪ a n k a m"	"DENTALTA NGA DIACRITICPULLI KA MA DIACRITICPULLI"
"அக்கறை"	"a k ː a ɾ aɪ"	"A KA DIACRITICPULLI KA RA DIACRITICAI"
"நகர"	"n a k a ɾ a"	"DENTALNA KA TAP "
"அங்குல"	"a n k u l a"	"A NGA DIACRITICPULLI KA DIACRITICU LA "
"அக்குள்"	"a k ː u ɭ"	"A KA DIACRITICPULLI KA DIACRITICU RETROFLEXLA"
"அழ"	"a ɻ a"	"A RETROFLEXAPPROXIMANT "
"ஆஃப்"	"a ː k a p"	"AA XA PA DIACRITICPULLI loanword from English off"
"இளமை"	"i ɭ a m aɪ"	"I RETROFLEXLA MA DIACRITICAI"
"ஈரமான"	"i ː ɾ a m a ː n a"	"II TAP MA DIACRITICAA NA"
"உச்ச"	"u tʃ ː a"	"U CHA DIACRITICPULLI CHA"
"ஊட்டி"	"u ː ʈ ː i"	"UU RETROFLEXTA DIACRITICPULLI RETROFLEXTA DIACRITICI"
"எங்கே"	"e n k e ː"	"E NGA DIACRITICPULLI KA DIACRITICEE"
"ஏன்"	"e ː n"	"EE NA DIACRITICPULLI"
"ஐயா"	"aɪ j a ː"	"AI"
"ஒடி"	"o ʈ i"	"O RETROFLEXTA DIACRITICI"
"ஓடம்"	"o ː ʈ a m"	"OO RETROFLEXTA MA DIACRITICPULLI"
"ஔகம்"	"aʊ k a m"	"AU KA MA DIACRITICPULLI"
"கூட"	"k u ː ʈ a"	"KA DIACRITICUU RETROFLEXTA "
"கொசு"	"k o tʃ u"	"KA DIACRITICO CHA DIACRITICU"
"உலோகம்"	"u l o ː k a m"	"U LA DIACRITICOO KA MA DIACRITICPULLI "
"மௌனம்"	"m aʊ n a m"	"MA DIACRITICE DIACRITICAU2 NA MA DIACRITICPULLI"
"மௌனம்"	"m aʊ n a m"	"MA DIACRITICAU NA MA DIACRITICPULLI"
