aká,a k a,"a"
ba'wí,β a ʔ w i,"b"
mucú,m u k u,"c"
chikuli,tʃ i k u ɭ i,"ch"
alekeri,a ɭ e k e ɽ i,"e"
ganíliga,ɣ a n i ɭ i ɣ a,"g"
Tarahumara,t a ɽ a w m a ɽ a,
huirú,w i ɽ u,"hu"
riní,ɽ i n i,"i"
kajé,k a h e,"j"
kaliwa,k a ɭ i w a,"k"
tolí,t o ɭ i,"l"
ralámuli,ɽ a ɭ a m u ɭ i,"m"
ne'ogé,n e ʔ o ɣ e,"n"
ocó,o k o,"o"
upí,u p i,"p"
baquí,β a k i,"qu"
ripuchí,ɽ i p u tʃ i,"r"
sulá,s u ɭ a,"s"
tata,t a t a,"t"
ukú,u k u,"u"
wi'yé,w i ʔ j e,"w"
'yeta,ʔ j e t a,"y, apostrophe"
alué,a ɭ u e,
napu,n a p u,
ꞌlige,ʔ ɭ i ɣ e,
napurigá,n a p u ɽ i ɣ a,
tabilé,t a β i ɭ e,
alé,a ɭ e,
ꞌemi,ʔ e m i,
