# word,ipa,comment
అతి,a t̪ i,A T DIACRITICI
ఆయన,a ː j a n a,AA Y N
ఇక్కడ,i k ː a ɖ a,I K VIRAMA K RETROFLEX
ఈదిన,i ː d̪ i n a,II D DIACRITICI N
ఉన్న,u n ː a,U N VIRAMA
ఊ,u ː,UU
ఋ,r u,VOCALICR
ౠ,r u ː,VOCALICRR
ఌ,l u,VOCALICL
ౡ,l u ː,VOCALICLL
ఎలా,e l a ː,E L DIACRITICAA
ఏనుగులను,e ː n u ɡ u l a n u,EE N DIACRITICU G DIACRITICU L N U
ఐ,a j,AI
ఔ,a w,AU
ఒకటైన,o k a ʈ a j n a,O K RETROFLEXT DIACRITICAI N
ఓ,o ː,OO
ముఖ్యమంత్రి,m u kʰ j a m a m t̪ r i,M DIACRITICU KH VIRAMA Y M ANUSVARA T VIRAMA R DIACRITICI
రాఘవుల,r a ː ɡʱ a w u l a,R DIACRITICAA GH V DIACRITICU L
చెందిన,tʃ e m d̪ i n a,C DIACRITICE ANUSVARA D DIACRITICI N
ఛానెల్,tʃʰ a ː n e l,CH DIACRITICAA N DIACRITICE L VIRAMA
జ్ఞాన,dʒ n a ː n a,J VIRAMA N DIACRITICAA N
పాఠ్యం,p a ː ʈʰ j a m,P DIACRITICAA RETROFLEXTH VIRAMA Y ANUSVARA
కూడా,k u ː ɖ a ː,K DIACRITICUU RETROFLEXD DIACRITICAA
ఛత్తీస్‌గఢ్,tʃʰ a t̪ ː i ː s ɡ a ɖʱ,CH T VIRAMA T DIACRITICII S VIRAMA G RETROFLEXDH zero non width joiner rule and gemination rule
మరణం,m a r a ɳ a m,M R RETROFLEXN ANUSVARA
గ్రంథ,ɡ r a m t̪ʰ a,G VIRAMA R ANUSVARA TH
ఙ,n a,N
ప్రధాన,p r a d̪ʱ a ː n a,P VIRAMA R DH DIACRITICAA N
ఫౌండేషన్,pʰ a w m ɖ e ː ʂ a n,,PH DIACRITICAU ANUSVARA RETROFLEXD DIACRITICEE RETROFLEXS N VIRAMA
కాబట్టి,k a ː b a ʈ ː i,K DIACRITICAA B RETROFLEXT VIRAMA RETROFLEXT DIACRITICI
భక్తులు,bʱ a k t̪ u l u,BH K VIRAMA DIACRITICU L DIACRITICU
మహిళ,m a h i ɭ a,M H DIACRITICI RETROFLEXL
దేశానికి,d̪ e ː ʃ a ː n i k i,D DIACRITICEE SH DIACRITICAA N DIACRITICI K DIACRITICI
కృ,k r u,K DIACRITICVOCALICR not a real word
కౄ,k r u ː,K DIACRITICVOCALICRR not a real word
కౢ,k l u,K DIACRITICVOCALICL not a real word
కౣ,k l u ː,K DIACRITICVOCALICLL not a real word
కొః,k o h,K DIACRITICO VISARGA not a real word
