jantu,h a n t u,"<a>"
acsni,a k s n i,"<c>"
chai,tʃ a i,"<ch>"
tuchꞌi,t u tʃʼ i,"<ch'>"
cuenta,k u e n t a,"<e>"
ni,n i,"<i>"
ju,h u,"<j>"
lakatam,l a k a t a m,"<k>"
kꞌox,kʼ o ʃ,"<k'>"
lapanacni,l a p a n a k n i,"<l>"
lhu,ɬ u,"<lh>"
ma,m a,"<m>"
na,n a,"<n>"
taxtokni,t a ʃ t o k n i,"<o>"
pus,p u s,"<p>"
pꞌas,pʼ a s,"<p'>"
quitꞌin,q i tʼ i n,"<q>"
tasqꞌuini,t a s q i n i,"<q'>"
para,p a ɾ a,"<r>"
carro,k a r o,"<rr>"
mas,m a s,"<s>"
tachi,t a tʃ i,"<t>"
lactꞌiyan,l a k tʼ i j a n,"<t'>"
isꞌatsucunti,i s ʔ a ts u k u n t i,"<ts>"
aktsꞌiya,a k tsʼ i j a,"<ts'>"
chun,tʃ u n,"<u>"
va,w a,"<v>"
uxijnan,u ʃ i h n a n,"<x>"
yuꞌunch,j u ʔ u n tʃ,"<y>"
tuꞌuꞌ,t u ʔ u ʔ,"apostrophe"
