асал,a s a l,"а"
бебок,b e b ɔ k,"б"
вақт,v a q t,"в"
гӯгирд,ɡ ɵ ɡ i r d,"г"
ғоз,ʁ ɔ z,"ғ"
дидан,d i d a n,"д"
вегетатсия,v e ɡ e t a t s i j a,"е"
его,j e ɡ ɔ,"word-initial е"
ёздаҳ,j ɔ z d a h,"ë"
жарф,ʒ a r f,"ж"
зону,z ɔ n u,"з"
ибтидо,i b t i d ɔ,"и"
илмӣ,i l m i,"ӣ"
бӯй,b ɵ j,"й"
кайк,k a j k,"к"
қошуқ,q ɔ ʃ u q,"қ"
лола,l ɔ l a,"л"
мумкин,m u m k i n,"м"
накӯном,n a k ɵ n ɔ m,"н"
осон,ɔ s ɔ n,"о"
пойтахт,p ɔ j t a χ t,"п"
раҳбар,r a h b a r,"р"
сурфа,s u r f a,"с"
табиат,t a b i a t,"т"
устухон,u s t u χ ɔ n,"у"
рӯд,r ɵ d,"ӯ"
фикр,f i k r,"ф"
хуб,χ u b,"х"
ҳаждаҳ,h a ʒ d a h,"ҳ"
чашм,tʃ a ʃ m,"ч"
ҷустуҷӯ,dʒ u s t u dʒ ɵ,"ҷ"
шамшер,ʃ a m ʃ e r,"ш"
яъне,j a ʔ n e,"ъ"
эшон,e ʃ ɔ n,"э"
компютер,k ɔ m p j u t e r,"ю"
якум,j a k u m,"я"
