база,b ɑ z ɑ,б goes to /b/; а goes to /a/; з goes to /z/
эвес,e ʋ e s,э and е go to /e/; в goes to /v/; с goes to /s/
болгаш,b o l ɡ ɑ ç,о goes to /o/; л goes to /l/; г goes to /ɡ/; ш goes to /ç/
деп,d e p,д goes to /d/; п goes to /p/
кижи,k i ʝ i,к goes to /k/; и goes to /i/; ж goes to /ʝ/
дугайыында,d u ɡ ɑ j ɯ ː n d ɑ,у goes to /u/; й goes to /j/; ы goes to /ɯ/; repeated vowels are long; н goes to /n/
мен,m e n,м goes to /m/
борбаңнадыр,b o r b ɑ ŋ n ɑ d ɯ r,р goes to /r/; ң goes to /ŋ/
өске,ø s k e,ө goes to /ø/
турар,t u r ɑ r,т goes to /t/
бүгү,b y ɡ y,ү goes to /y/
хөй,x ø j,х goes to /x/
чок,cç o k,ч goes to /cç/
аът,ɑ t,ъ has no phonemic value
израиль,i z r ɑ i l,ь has no phonemic value
ёзугаар,j o z u ɡ ɑ ː r,ё goes to /j o/
ол,o l,
дээш,d e ː ç,
бурганның,b u r ɡ ɑ n n ɯ ŋ,
турган,t u r ɡ ɑ n,
иисус,i ː s u s,
силер,s i l e r,
дээн,d e ː n,
ооң,o ː ŋ,
болза,b o l z ɑ,
дээрге,d e ː r ɡ e,
улус,u l u s,
бис,b i s,
ону,o n u,
болур,b o l u r,
