бала,b ɑ l ɑ,"/ɑ/, /b/"
тәрҗимә,t æ r dʒ i m æ,"/æ/"
пәмидур,p æ m i d u r,"/p/, /d/"
җумһурийәт,dʒ u m h u r i j æ t,"/dʒ/, /m/, /h/"
уйғурчә,u j ɣ u r tʃ æ,"/tʃ/"
йахши,j ɑ x ʃ i,"/x/"
жил,ʒ i l,"/ʒ/"
су,s u,"/s/"
таш,t ɑ ʃ,"/t/, /ʃ/"
луғәт,l u ɣ æ t,"/l/, /ɣ/"
йанфон,j ɑ n f o n,"/f/, /o/"
қазан,q ɑ z ɑ n,"/q/, /z/, /n/"
көк,k ø k,"/k/, /ø/"
гугут,ɡ u ɡ u t,"/ɡ/"
миң,m i ŋ,"/ŋ/"
уйғур,u j ɣ u r,"/u/, /j/, /r/"
гүңгүрт,ɡ y ŋ ɡ y r t,"/y/"
җаваб,dʒ ɑ w ɑ b,"/w/"
нефит,n e f i t,"/e/"
бир,b i r,"/i/"
