абака,a b a k a,"а"
бабуся,b a b u sʲ a,"б"
вдова,v d ɔ v a,"в"
гоголь,ɦ ɔ ɦ ɔ lʲ,"г"
ґанок,ɡ a n ɔ k,"ґ"
дідух,dʲ i d u x,"д"
джерело,dʒ ɛ r ɛ l ɔ,"дж"
дзьоб,dzʲ ɔ b,"дз"
енергія,ɛ n ɛ r ɦ i j a,"е"
єдиноріг,j ɛ d ɪ n ɔ rʲ i ɦ,"є"
жук,ʒ u k,"ж"
звізда,z v i z d a,"з"
жити,ʒ ɪ t ɪ,"и"
історія,i s t ɔ rʲ i j a,"і"
їсти,j i s t ɪ,"ї"
йти,j t ɪ,"й"
кішка,k i ʃ k a,"к"
ловелас,l ɔ v ɛ l a s,"л"
мамонт,m a m ɔ n t,"м"
надання,n a d a n nʲ a,"н"
озеро,ɔ z ɛ r ɔ,"о"
папуга,p a p u ɦ a,"п"
розмір,r ɔ z m i r,"р"
совість,s ɔ v i s tʲ,"с"
ткати,t k a t ɪ,"т"
увага,u v a ɦ a,"у"
ферзь,f ɛ r zʲ,"ф"
хрущ,x r u ʃ tʃ,"х"
цариця,ts a r ɪ tsʲ a,"ц"
черга,tʃ ɛ r ɦ a,"ч"
шершень,ʃ ɛ r ʃ ɛ nʲ,"ш"
щоб,ʃ tʃ ɔ b,"щ"
ґедзь,ɡ ɛ dzʲ,"ь"
юшка,j u ʃ k a,"ю"
ягня,j a ɦ nʲ a,"я"
суб'єкт,s u b j ɛ k t,"apostrophe"
