áama,a ˦ a ˨ m a ˨,
aámá,a ˨ a ˦ m a ˦,
aamá,a ˨ a ˨ m a ˦,
ómá,o ˦ m a ˦,
omá,o ˨ m a ˦,
ôma,o ˥˩ m a ˨,
wáíma,w a ˦ i ˦ m a ˨,
waíma,w a ˨ i ˦ m a ˨,
waima,w a ˨ i ˨ m a ˨,
pááq,p a ˦ a ˦ ʔ,
keráwáqá,k e ˨ r a ˦ w a ˦ ʔ a ˦,
ánibo,a ˦ n i ˨ p o ˨,
téna,t e ˦ n a ˨,
yagaroqtamá,j a ˨ k a ˨ r o ˨ ʔ t a ˨ m a ˦,
umá,u ˨ m a ˦,
waayúkama,w a ˨ a ˨ j u ˦ ʔ k a ˨ m a ˨,
minnâ,m i ˨ n n a ˥˩,
íbêqa,i ˦ p e ˥˩ ʔ a ˨,
áwîqa,a ˦ w i ˥˩ ʔ a ˨,
tarôq,t a ˨ r o ˥˩ ʔ,
márûpaq,m a ˦ r u ˥˩ ʔ p a ˨ ʔ,
iyápó-annama,i ˨ j a ˦ ʔ p o ˦ a ˨ n n a ˨ m a ˨,
ketí,k e ˨ ʔ t i ˦,
yímikaiye,j i ˦ m i ˨ ʔ k a ˨ i ˨ j e ˨,
kéiye,k e ˦ i ˨ j e ˨,
naayóbáqá,n a ˨ a ˨ j o ˦ p a ˦ ʔ a ˦,
anómma,a ˨ n o ˦ m m a ˨,
urááe,u ˨ r a ˦ a ˦ e ˨,
yaímma,j a ˨ i ˦ m m a ˨,
ámikaiye,a ˦ m i ˨ ʔ k a ˨ i ˨ j e ˨,
