арзанда,a ɾ z a n d a,"а"
бошлаб,b ɔ ʃ l a b,"б"
васвос,w a s w ɔ s,"в"
гугурт,ɡ u ɡ u ɾ t,"г"
ғазаб,ɣ a z a b,"ғ"
дудоқ,d u d ɔ q,"д"
етакчи,j ɛ t a k tʃ i,"е"
ёқа,j ɔ q a,"ё"
жўжа,dʒ o dʒ a,"ж"
зиёфат,z i j ɔ f a t,"з"
илиқ,i l i q,"и"
йиғи,j i ɣ i,"й"
кекса,k ɛ k s a,"к"
қаймоқ,q a j m ɔ q,"қ"
лимилла,l i m i l ː a,"л"
мажмуа,m a dʒ m u a,"м"
нозанин,n ɔ z a n i n,"н"
гунг,ɡ u ŋ,"нг"
одош,ɔ d ɔ ʃ,"о"
пўписа,p o p i s a,"п"
ресурс,ɾ ɛ s u ɾ s,"р"
сафсата,s a f s a t a,"с"
тентак,t ɛ n t a k,"т"
учун,u tʃ u n,"у"
ўрин-кўрпа,o ɾ i n k o ɾ p a,"ў"
фарфор,f a ɾ f ɔ ɾ,"ф"
хомхаёл,χ ɔ m χ a j ɔ l,"х"
ҳамроҳ,h a m ɾ ɔ h,"ҳ"
чечак,tʃ ɛ tʃ a k,"ч"
шиша,ʃ i ʃ a,"ш"
объекти,ɔ b j ɛ k t i,"ъ (pre-e)"
яъни,j a n i,"ъ (elsewhere)"
эфир,ɛ f i ɾ,"э"
юмор,j u m ɔ ɾ,"ю"
январь,j a n w a ɾ,"я"
милиция,m i l i t s i j a,"ц"
июнь,i j u n,"ь"
аччиқ,a tʃ ː i q,"gemination"
