mooró,m o ɾ o,
mukukáme,m u k u k a m e,
a'ká,a ʔ k a,
apechúna,a p e tʃ u n a,
ahimáni,a h i m a n i,
apoé,a p o e,
a'rupahchíra,a ʔ ɾ u p a h tʃ i ɾ a,
mokewári,m o k e w a ɾ i,
tísia,t i s i a,
ahjama,a h h a m a,
yooma,j o m a, 
aamo,a m o,
eemea,e m e a,
kiisi,k i s i,
puuua,p u a,
teꞌta,t e ʔ t a,
puꞌka,p u ʔ k a,
tiame,t i a m e,
iꞌka,i ʔ k a,
aaata,a t a,
teemea,t e m e a,
tiameo,t i a m e o,
waꞌapi,w a ʔ a p i,
nape,n a p e,
kihta,k i h t a,
neeea,n e a,
kaaweruma,k a w e ɾ u m a,
tiiame,t i a m e,
epeche,e p e tʃ e,
puuu,p u,
