bagác,ɓ aː ˧ ɣ aː ˧˥ k,b goes to /ɓ/; a goes to /aː˧/; g goes to /ɣ/; á goes to /aː˧˥/; c goes to /k/
bagác,ɓ aː ˧ ɣ aː ˧˥ k,
cho,tɕ ɔ ˧,ch goes to /tɕ/ word initially; o goes to /ɔ˧/
cách,k aː ˧˥ k,ch goes to /k/ word finally
cách,k aː ˧˥ k,
dụng,z u ˨˩ˀ ŋ,d goes to /z/; ụ goes to /u˨˩ˀ/; ng goes to /ŋ/
dụng,z u ˨˩ˀ ŋ,
đề,ɗ e ˨˩,đ goes to /ɗ/; ề goes to /e˨˩/
đề,ɗ e ˨˩,
nghĩa,ŋ ie ˧˥ˀ, h is deleted after g; ĩa goes to /ie˧˥ˀ/
nghĩa,ŋ ie ˧˥ˀ,
giải,z aː ˧˩˧ j, gi goes to /z/; ả goes to /aː˧˩˧/; i becomes /j/ after vowels
giải,z aː ˧˩˧ j,
khoa,x w aː ˧, kh goes to /x/
nhân,ɲ ɤ ˧ n̪, nh goes to /ɲ/ word initially; â goes to /ɤ˧/
mạnh,m aː ˨˩ˀ ŋ, ạ goes to /aː˨˩ˀ/; nh goes to /ŋ/ word finally
mạnh,m aː ˨˩ˀ ŋ,
phần,f ɤ ˨˩ n̪, ph goes to /f/; ầ goes to /ɤ˨˩/
phần,f ɤ ˨˩ n̪,
quyền,k w ie ˨˩ n̪, qu goes to /kw/
trong,tɕ ɔ ˧ ŋ, tr goes to /tɕ/
rằng,z a ˨˩ ŋ, r goes to /z/; ằ goes to /a˨˩/
rằng,z a ˨˩ ŋ,
thì,t̪ʰ i ˨˩, th goes to /t̪ʰ/; ì goes to /i˨˩/
thì,t̪ʰ i ˨˩,
xem,s ɛ ˧ m, x goes to /s/; e goes to /ɛ˧/
một,m o ˨˩ˀ t̪,ộ goes to /o˨˩ˀ/; t goes to /t̪/
một,m o ˨˩ˀ t̪,
và,v aː ˨˩, à goes to /aː˨˩/
và,v aː ˨˩,
đã,ɗ aː ˧˥ˀ, ã goes to /aː˧˥ˀ/
đã,ɗ aː ˧˥ˀ,
lại,l aː ˨˩ˀ j, ạ goes to /aː˨˩ˀ/; i goes to /j/ after vowels
lại,l aː ˨˩ˀ j,
năm,n̪ a ˧ m, ă goes to /a˧/
chẳng,tɕ a ˧˩˧ ŋ, ẳ goes to /a˧˩˧/
chẳng,tɕ a ˧˩˧ ŋ,
sẵn,s a ˧˥ˀ n̪, ẵ goes to /a˧˥ˀ/
sẵn,s a ˧˥ˀ n̪,
bắt,ɓ a ˧˥ t̪, ắ goes to /a˧˥/
bắt,ɓ a ˧˥ t̪,
mặt,m a ˨˩ˀ t̪, ặ goes to /a˨˩ˀ/
mặt,m a ˨˩ˀ t̪,
phẩm,f ɤ ˧˩˧ m, ẩ goes to /ɤ˧˩˧/
phẩm,f ɤ ˧˩˧ m,
vẫn,v ɤ ˧˥ˀ n̪, ẫ goes to /ɤ˧˥ˀ/
vẫn,v ɤ ˧˥ˀ n̪,
nhất,ɲ ɤ ˧˥ t̪, ấ goes to /ɤ˧˥/
nhất,ɲ ɤ ˧˥ t̪,
nhận,ɲ ɤ ˨˩ˀ n̪, ậ goes to /ɤ˨˩ˀ/
nhận,ɲ ɤ ˨˩ˀ n̪,
nghèo,ŋ ɛ ˨˩ w, è goes to /ɛ˨˩/; o goes to /w/ after a and e
nghèo,ŋ ɛ ˨˩ w,
trẻ,tɕ ɛ ˧˩˧, ẻ goes to /ɛ˧˩/
trẻ,tɕ ɛ ˧˩˧,
sẽ,s ɛ ˧˥ˀ, ẽ goes to /ɛ˧˥ˀ/
sẽ,s ɛ ˧˥ˀ,
bé,ɓ ɛ ˧˥, é goes to /ɛ˧˥/
bé,ɓ ɛ ˧˥,
đẹp,ɗ ɛ ˨˩ˀ p, ẹ goes to /ɛ˨˩ˀ/
đẹp,ɗ ɛ ˨˩ˀ p,
trên,tɕ e ˧ n̪, ê goes to /e˧/
để,ɗ e ˧˩˧, ể goes to /e˧˩/
để,ɗ e ˧˩˧,
nguyễn,ŋ w ie ˧˥ˀ n̪, u goes to /w/; yễ goes to /ie˧˥ˀ/
nguyễn,ŋ w ie ˧˥ˀ n̪,
đến,ɗ e ˧˥ n̪, ế goes to /e˧˥/
đến,ɗ e ˧˥ n̪,
chuyện,tɕ w ie ˨˩ˀ n̪, yệ goes to /ie˨˩ˀ/
chuyện,tɕ w ie ˨˩ˀ n̪,
khi,x i ˧, i goes to /i˧/
chỉ,tɕ i ˧˩˧, ỉ goes to /i˧˩˧/
chỉ,tɕ i ˧˩˧,
chính,tɕ i ˧˥ ŋ, í goes to /i˧˥/
chính,tɕ i ˧˥ ŋ,
bị,ɓ i ˨˩ˀ, ị goes to /i˨˩ˀ/
bị,ɓ i ˨˩ˀ,
còn,k ɔ ˨˩ n̪, ò goes to /ɔ˨˩/
