agaimiya,ɑ ɡ ɑ i m i j ɑ,"a"
babiya,b ɑ b i j ɑ,"b"
gidadauda,ɡ i d ɑ d ɑ u d ɑ,"d"
velemo'ena,v e l e m o ʔ e n ɑ,"e"
fafali,f ɑ f ɑ l i,"f"
gigayo,ɡ i ɡ ɑ j o,"g"
hagihagina,h ɑ ɡ i h ɑ ɡ i n ɑ,"h"
omiꞋiyao,o m i ʔ i j ɑ o,"i"
keke,k e k e,"k"
melala,m e l ɑ l ɑ,"l"
medema,m e d e m ɑ,"m"
nuwanuwana,n u w ɑ n u w ɑ n ɑ,"n"
yo'o,j o ʔ o,"o"
faisewa,f ɑ i t e w ɑ,"s"
tovetumagana,t o v e t u m ɑ ɡ ɑ n ɑ,"t"
yamumuna,j ɑ m u m u n ɑ,"u"
vevine,v e v i n e,"v"
kwamayoku,k u ɑ m ɑ j o k u,"w (C_V)"
wowona,w o w o n ɑ,"w (normal)"
iya'iyaya,i j ɑ ʔ i j ɑ j ɑ,"y"
toꞋitaveꞋavina,t o ʔ i t ɑ v e ʔ ɑ v i n ɑ,"apostrophe"
