karalyarr,k a ɻ a ʎ a ɾ,"a"
kaatu,k a ː t u,"aa"
yaripirrki,j a ɻ i p i ɾ k i,"i"
yiin-kijirni,j i ː n k i ɟ i ɳ i,"ii"
jarnpa,ɟ a ɳ p a,"j"
kuju,k u ɟ u,"k"
lirra,ɭ i ɾ a,"l (initial)"
milpa,m i l p a,"l (medial)"
karlarla,k a ɭ a ɭ a,"rl"
kalypa,k a ʎ p a,"ly"
mula,m u l a,"m"
mina,m i n a,"n (medial)"
narntirnki,ɳ a ɳ t i ɳ k i,"rn & n (initial)"
nyanyi,ɲ a ɲ i,"ny"
ngapa,ŋ a p a,"ng"
pampa,p a m p a,"p"
pira,p i ɻ a,"r"
rdaka,ɽ a k a,"rd"
jirrama,ɟ i ɾ a m a,"rr"
tari,ʈ a ɻ i,"t (initial)"
wati,w a t i,"t (medial)"
kartaku,k a ʈ a k u,"rt"
nguku,ŋ u k u,"u"
puurlu,p u ː ɭ u,"uu"
wirlki,w i ɭ k i,"w"
yapa,j a p a,"y"
