az,a z,a goes to /a/; z goes to /z/
dem,d ɛ m,d goes to /d/; e goes to /ɛ/; m goes to /m/
zikh,z ɪ x,i goes to /ɪ/; kh goes to /χ/
vos,v ɔ s,v goes to /v/; o goes to /ɔ/; s goes to /s/
tsu,ts ʊ,ts goes to /ts/; u goes to /ʊ/
zayn,z aɪ n,ay goes to /aɪ/; n goes to /n/
azoy,a z ɔɪ,oy goes to /ɔɪ/
zey,z ɛɪ,ey goes to /ɛɪ/
yidish,j ɪ d ɪ ʃ,y goes to /j/; sh goes to /ʃ/
der,d ɛ ɾ,r goes to /ɾ/
zhe,ʒ ɛ,zh goes to /ʒ/
birobidzhan,b ɪ ɾ ɔ b ɪ dʒ a n,b goes to /b/; dzh goes to /dʒ/
mentsh,m ɛ n tʃ,tsh goes to /tʃ/
fun,f ʊ n,f goes to /f/
geven,ɡ ɛ v ɛ n,g goes to /g/
hot,h ɔ t,h goes to h; t goes to /t/
keyn,k ɛɪ n,k goes to /k/
ale,a l ɛ,l goes to /l/
shprakh,ʃ p ɾ a x,p goes to /p/
un,ʊ n,
a,a,
di,d ɪ,
in,ɪ n,
iz,ɪ z,
mit,m ɪ t,
er,ɛ ɾ,
ikh,ɪ x,
vi,v ɪ,
nisht,n ɪ ʃ t,
dos,d ɔ s,
oyf,ɔɪ f,
mir,m ɪ ɾ,
hobn,h ɔ b n,
men,m ɛ n,
far,f a ɾ,
