a'al,a ː ˦ ˷ l,tests v'v rule
xiib,ʃ i ː ˨ ɓ,tests vv rule
óox,o ː ˦ ʃ,tests v́v rule
kaajal,k a ː ˨ h a l,
chaik,tʃ a i k,
iik',i ː ˨ kʼ,
p'uchik,pʼ u tʃ i k,
metik,m e t i k,
t'uut',tʼ u ː ˨ tʼ,
ch'o',tʃʼ o ʔ,tests apostrophe to glottal stop rule
woolis,w o ː ˨ l i s,
tz'in,tsʼ i n,
itza,i ts a,
beora,ɓ e o ɾ a,
muyal,m u j a l,
kuxtal,k u ʃ t a l,
te'ex,t e ː ˦ ˷ ʃ,
puksi'ik'al,p u k s i ː ˦ ˷ kʼ a l,
ko'olel,k o ː ˦ ˷ l e l,
tu'ux,t u ː ˦ ˷ ʃ,
máak,m a ː ˦ k,
junp'éel,h u n pʼ e ː ˦ l,
yéetel,j e ː ˦ t e l,
kíimil,k i ː ˦ m i l,
juntúul,h u n t u ː ˦ l,
yaan,j a ː ˨ n,
teech,t e ː ˨ tʃ,
xook,ʃ o ː ˨ k,
k'iin,kʼ i ː ˨ n,
tuukul,t u ː ˨ k u l,
