sama,s a m a,
bolembole,b o l e m b o l e,
sobossobo,s o b o s ː o b o,
sëpisë,s æ p i s æ,
bache,b a tʃ e,
bëjta,b æ h t a,
sheta,ʃ e t a,
letu,l e t u,
judiu,h u d i w,
naa,n a a,
cuta,k u t a,
shunñe,ʃ u n ɲ e,
ateremtë,a t e ɹ̝ e m t æ,
cürüs,k ɨ ɹ̝ ɨ s,
achaya,a tʃ a j a,
cutau,k u t a w,
mandyuju,m a n dʲ u h u,
tuhua,t u w a,
quinto,k i n t o,
achuta,a tʃ u t a,
sibbë,s i b ː æ,
maj-mapacca,m a h m a p a k ː a,
huiddishcuta,w i d ː i ʃ k u t a,
dojjo,d o h ː o,
ellei,e l ː e i,
mammui,m a m ː u i,
ënnëtësh,æ n ː æ t æ ʃ,
mappëlë,m a p ː æ l æ,
burro,b u ɹ̝ ː o,
lëtta,l æ t ː a,
oyyotijsha,o j ː o t i h ʃ a,
ëshshë,æ ʃ ː æ,
