ñijpu,ɲ i h p u,
øṉu,ɨ ŋ u,
caꞌṉaju,k a ʔ ŋ a h u,
voju,w o h u,
cø'yi,k ɨ ʔ j i,
maṉdaṉgue'tu,m a ŋ d̪ a ŋ ɡ e ʔ t̪ u,
chømi,tʃ ɨ m i,
macho'tzu,m a tʃ o ʔ ts u,
quinø,k i n ɨ,
más,m a s,
también,t̪ a m b i e n,
policía,p o l i s i a,
sólo,s o l o,
último,u l t̪ i m o,
maṉba,m a ŋ b a,
fuera,f u e r a,
lo,l o,
porque,p o r k e,
entonces,e n t̪ o n s e s,
ndzøctam,n dz ɨ k t̪ a m,
cumguꞌyomo,k u m ɡ u ʔ j o m o,
aṉguiꞌmguy,a ŋ ɡ i ʔ m ɡ u j,
syunbase,ʃ u n b a s e,
ⁿvin,w i n,
eyataꞌmbø,e j a t̪ a ʔ m b ɨ,
oy,o j,
ⁿisø,i s ɨ,
isipø,i s i p ɨ,
yaj,j a h,
cuando,k u a n d̪ o,
