azad,ɑ z ɑ d̪,"a"
bılbıl,b ɨ l b ɨ l,"b"
cucek,dʒ ʊ dʒ ə k,"c"
çakuç,tʃ ɑ k ʊ tʃ,"ç"
dizd,d̪ i z d̪,"d"
esteri,ə s t̪ ə ɾ i,"e"
şimşêr,ʃ i m ʃ e ɾ,"ê"
feqet,f ə q ə t̪,"f"
gedug,ɡ ə d̪ ʊ ɡ,"g"
ğamık,ɣ ɑ m ɨ k,"ğ"
hêvi,h e v i,"h"
'her,ħ ə ɾ,"'h"
mıriçık,m ɨ ɾ i tʃ ɨ k,"ı"
ini,i n i,"i"
roj,ɾ o ʒ,"j"
keki,k ə k i,"k"
lewel,l əw ə l,"l"
şu'leyê,ʃ ʊ ɫ əj e,"'l"
filhano,f i ɫ ɑ n o,"lh"
maqam,m ɑ q ɑ m,"m"
nan,n ɑ n,"n"
omnon,o m n o n,"o"
pılpılık,p ɨ l p ɨ l ɨ k,"p"
qaloç,q ɑ l o tʃ,"q"
raye,ɾ ɑj ə,"r"
zerri,z ə r i,"rr"
semsiya,s ə m s i j ɑ,"s"
dü'si,d̪ u sˤ i,"'s"
ushira,ʊ sˤ i ɾ ɑ,"sh"
şeş,ʃ ə ʃ,"ş"
tut,t̪ ʊ t̪,"t"
millet'ta,m i l l ə t̪ t̪ˤ ɑ,"'t"
thowa,t̪ˤ o w ɑ,"th"
utu,ʊ t̪ ʊ,"u"
lû,l u,"û"
xü,x u,"ü"
vawr,v ɑw ɾ,"v"
welew,w ə l əw,"w"
xox,x o x,"x"
yasemin,j ɑ s ə m i n,"y"
zebeşe,z ə b ə ʃ ə,"z"
xoce'y,x o dʒ ə ʕ j,"apostrophe"
