Language,BCP-47 Code,ISO-639-3 Code,Latitude,Longitude,Language Family,Color,Color (plain name)
Arabic,ar,arb,27.96,43.85,Afro-Asiatic,#065535,green
Maltese,mt,mlt,35.89,14.45,Afro-Asiatic,#065535,green
Shilha,shi,shi,29.79,-7.78,Afro-Asiatic,#065535,green
Central Atlas Tamazight,tzm,tzm,32.74,-2.41,Afro-Asiatic,#065535,green
Moose Cree,crm,crm,51.07,-80.69,Algonquian,#ffd700,mustard
Paumarí,pad,pad,-5.78,-64.28,Arauan,#ffd700,mustard
Mapudungun,arn,arn,-38.74,-71.28,Araucanian,#ffd700,mustard
Apurinã,apu,apu,-8.22,-66.77,Arawakan,#990000,maroon
Asháninka,cni,cni,-11.93,-73.91,Arawakan,#990000,maroon
Wayuu,guc,guc,11.4,-72.2,Arawakan,#990000,maroon
Ignaciano,ign,ign,-15.12,-65.4,Arawakan,#990000,maroon
Nomatsiguenga,not,not,-11.53,-74.44,Arawakan,#990000,maroon
Piapoco,pio,pio,4.38,-68.6,Arawakan,#990000,maroon
Palikúr,plu,plu,3.64,-51.62,Arawakan,#990000,maroon
Yucuna,ycn,ycn,-0.76,-71,Arawakan,#990000,maroon
Yine,pib,pib,-11.11,-73.31,Arawakan ,#990000,maroon
Burarra,bvr,bvr,-12.31,134.37,Australian,#ffd700,mustard
Vietnamese,vi,vie,20.68,105.77,Austroasiatic,#ffd700,mustard
Arosi,aia,aia,-10.24,161.43,Austronesian,#ff7f50,orange
Central Bikol,bcl,bcl,13.76,123.4,Austronesian,#ff7f50,orange
Bunama,bdd,bdd,-10.08,151.07,Austronesian,#ff7f50,orange
Batak Karo,btx,btx,2.13,98.25,Austronesian,#ff7f50,orange
Bugis,bug,bug,-4.47,119.98,Austronesian,#ff7f50,orange
Mapos Buang,bzh,bzh,-6.87,146.77,Austronesian,#ff7f50,orange
Mussau-Emira,emi,emi,-1.44,149.62,Austronesian,#ff7f50,orange
Kiribati,gil,gil,-1.34,176.44,Austronesian,#ff7f50,orange
Hawaiian,haw,haw,19.63,-155.43,Austronesian,#ff7f50,orange
Hiligaynon,hil,hil,10.4,122.97,Austronesian,#ff7f50,orange
Indonesian,id,ind,-7.33,109.72,Austronesian,#ff7f50,orange
Ilocano,ilo,ilo,15.94,120.99,Austronesian,#ff7f50,orange
Javanese,jv,jav,-7,109.29,Austronesian,#ff7f50,orange
Mekeo,mek,mek,-8.24,146.59,Austronesian,#ff7f50,orange
Malagasy,mg,mlg,-22.8,47.82,Austronesian,#ff7f50,orange
Muna,mnb,mnb,-5.4,122.54,Austronesian,#ff7f50,orange
Misima-Panaeati,mpx,mpx,-10.68,152.7,Austronesian,#ff7f50,orange
Mamasa,mqj,mqj,-3.08,119.48,Austronesian,#ff7f50,orange
Manam,mva,mva,-4.08,145.03,Austronesian,#ff7f50,orange
Nehan,nsn,nsn,-4.57,154.2,Austronesian,#ff7f50,orange
Pangasinan,pag,pag,15.94,120.36,Austronesian,#ff7f50,orange
Palauan,pau,pau,7.34,134.48,Austronesian,#ff7f50,orange
Gapapaiwa,pwg,pwg,-9.73,149.85,Austronesian,#ff7f50,orange
Samoan,sm,smo,-13.92,-171.83,Austronesian,#ff7f50,orange
Sinaugoro,snc,snc,-9.8,147.86,Austronesian,#ff7f50,orange
Tongan,to,ton,-21.17,-175.25,Austronesian,#ff7f50,orange
Iduna,viv,viv,-9.34,150.24,Austronesian,#ff7f50,orange
Standard Malay,zsm,zsm,3.09,101.7,Austronesian,#ff7f50,orange
Aymara,ay,ayr,-17,-68.5,Aymaran,#ffd700,mustard
Cha'palaa,cbi,cbi,0.71,-79.05,Barbacoan,#ffd700,mustard
Colorado,cof,cof,-0.21,-79.23,Barbacoan,#ffd700,mustard
Chayahuita,cbt,cbt,-5.64,-76.83,Cahuapanan,#ffd700,mustard
Akawaio,ake,ake,6.16,-60.86,Cariban,#ffd700,mustard
Apalaí,apy,apy,1.5,-54.75,Cariban,#ffd700,mustard
Wayana,way,way,2.78,-54.44,Cariban,#ffd700,mustard
Carib,car,car,5.84,-56.83,Cariban,#ffd700,mustard
Bribri,bzd,bzd,9.4,-83.05,Chibchan,#ffd700,mustard
Kannada,kn,kan,13.59,76.12,Dravidian,#ffd700,mustard
Malayalam,ml,mal,9.59,76.77,Dravidian,#ffd700,mustard
Tamil,ta,tam,10.52,78.83,Dravidian,#ffd700,mustard
Telugu,te,tel,16.45,78.7,Dravidian,#ffd700,mustard
Bislama,bi,bis,-15.4,166.89,English Creole,#333333,black
Jamaican Creole,jam,jam,18.13,-77.26,English Creole,#333333,black
Tok Pisin,tpi,tpi,-9.42,147.3,English Creole,#333333,black
Inuktitut,iu,ike,62.17,-75.61,Eskimo-Aleut,#ffd700,mustard
Kalaallisut,kl,kal,69.38,-52.86,Eskimo-Aleut,#ffd700,mustard
Saint Lucian Creole French,acf,acf,15.39,-61.36,French Creole,#333333,black
Haitian Creole,ht,hat,18.8,-72.14,French Creole,#333333,black
Morisyen,mfe,mfe,-20.26,57.55,French Creole,#333333,black
Guayabero,guo,guo,2.9,-71.84,Guahiboan,#ffd700,mustard
Nunggubuyu,nuy,nuy,-14.26,135.75,Gunwinyguan,#ffd700,mustard
White Hmong,hmn,mww,21.55,103.16,Hmong-Mien,#ffd700,mustard
Oriya,or,ory,21,85,Indo-Aryan,#ffd700,mustard
Aragonese,an,arg,42.47,-0.01,Indo-European,#003366,blue
Asturian,ast,ast,42.42,-6.02,Indo-European,#003366,blue
Belarusan,be,bel,53.23,25.6,Indo-European,#003366,blue
Bulgarian,bg,bul,43.36,25.05,Indo-European,#003366,blue
Catalan,ca,cat,41.45,1.57,Indo-European,#003366,blue
Czech,cs,ces,49.87,15.1,Indo-European,#003366,blue
Maldivian,dv,div,1.93,73.54,Indo-European,#003366,blue
Modern Greek,el,ell,38.36,23.13,Indo-European,#003366,blue
Spanish,es,spa,40.44,-1.12,Indo-European,#003366,blue
Hindi,hi,hin,25,77,Indo-European,#003366,blue
Upper Sorbian,hsb,hsb,51.24,14.41,Indo-European,#003366,blue
Armenian,hy,hye,40,45,Indo-European,#003366,blue
Nepali,ne,npi,28,85,Indo-European,#003366,blue
Ossetian,os,oss,42.98,44.61,Indo-European,#003366,blue
Romanian,ro,ron,46.39,24.23,Indo-European,#003366,blue
Sinhala,si,sin,8,81,Indo-European,#003366,blue
Slovak,sk,slk,48.55,18.78,Indo-European,#003366,blue
Tosk Albanian,sq,als,41,20,Indo-European,#003366,blue
Tajik,tg,tgk,38.82,68.55,Indo-European,#003366,blue
Ukrainian,uk,ukr,49.8,29.95,Indo-European,#003366,blue
Yiddish,yi,ydd,51.75,19.42,Indo-European,#003366,blue
Zaza,zza,diq,38.61,39.64,Indo-European,#003366,blue
Pele-Ata,ata,ata,-5.58,151.05,isolate,#ffdab9,tan
Candoshi-Shapra,cbu,cbu,-4.24,-76.93,Isolate,#ffdab9,tan
Cofán,con,con,0.28,-77.06,Isolate,#ffdab9,tan
Basque,eu,eus,43.28,-1.32,Isolate,#ffdab9,tan
Korean,ko,kor,37.5,128,Isolate,#ffdab9,tan
Yuracare,yuz,yuz,-16.75,-65.12,Isolate,#ffdab9,tan
Georgian,ka,kat,41.85,43.79,Kartvelian,#ffd700,mustard
Naro,nhr,nhr,-22.09,20.75,Khoe-Kwadi,#ffd700,mustard
Rikbaktsa,rkb,rkb,-11.19,-58.19,Macro-Ge,#ffd700,mustard
Rabinal Achi',acr,acr,15.07,-90.35,Mayan,#ccff00,neon
Chʼortiʼ,caa,caa,14.82,-89.24,Mayan,#ccff00,neon
Tabasco Chontal,chf,chf,18.17,-92.74,Mayan,#ccff00,neon
Ixtatán Chuj,cnm,cac,15.84,-91.76,Mayan,#ccff00,neon
Chol,ctu,ctu,17.49,-92.47,Mayan,#ccff00,neon
Ixil,ixl,ixl,15.46,-90.89,Mayan,#ccff00,neon
Qeqchi,kek,kek,15.38,-89.25,Mayan,#ccff00,neon
Q'anjob'al,kjb,kjb,15.68,-91.3,Mayan,#ccff00,neon
Mam,mam,mam,14.8,-91.72,Mayan,#ccff00,neon
Tz'utujil,tzj,tzj,14.64,-91.2,Mayan,#ccff00,neon
Tzotzil,tzo,tzo,16.64,-92.74,Mayan,#ccff00,neon
Yucatec Maya,yua,yua,18.78,-88.96,Mayan,#ccff00,neon
